表示,100987,54173
台灣,85108,27231
今天,58946,38925
公司,45413,18949
總統,44434,14334
月日,44279,18116
市場,44250,18406
美國,42446,16252
政府,41303,19192
今年,40985,21629
大陸,39998,13760
指出,38507,27715
中國,35963,15494
多雲,34024,1770
經濟,32310,13895
億元,31889,11632
國際,29576,15211
目前,28809,20350
投資,28455,11024
去年,28360,15628
可能,26430,16615
風級,26100,840
成長,25666,11088
沒有,25331,15874
美元,24712,8577
報導,24609,15092
年月,24213,15861
未來,24167,15827
國家,24053,13787
陣風,22626,1193
日本,22582,8260
發展,22480,12664
陣風級,22468,844
全球,22460,11603
民眾,22442,11779
影響,21829,14090
銀行,21771,6674
可以,21364,13823
產業,21332,8967
認為,21228,14666
希望,21002,14011
包括,20677,16301
相關,20482,14001
委員,20171,10191
問題,20129,12253
台北,19939,11017
企業,19892,8415
時間,19802,13879
董事,19672,9232
持續,19522,13479
進行,19488,14006
服務,19475,8886
產品,19450,8540
國民,19421,7350
陣雨,19078,1526
民黨,18206,5810
合作,18131,9716
營收,18072,5888
第季,17934,6086
雷雨,17811,1029
行政,17807,8870
法院,17259,8521
政策,17105,9224
金融,16969,6876
一個,16766,11365
台幣,16736,10544
萬元,16454,7230
國民黨,16371,5292
以及,16352,12877
提供,16328,10711
人民,16083,7445
工作,15570,8939
活動,15549,8436
第一,15496,11092
大學,15456,6579
因此,15352,12180
因為,15336,11725
代表,15321,9030
指數,15271,5410
國大,15261,9504
我們,15258,7864
立法,15231,7699
新台,15135,10049
民進黨,15105,5968
中央,15060,11586
民進,15025,5974
媒體,15012,9578
進黨,14976,5914
新台幣,14928,9905
透過,14857,10859
英文,14856,6302
中心,14649,8217
成為,14641,11073
事長,14528,8942
社會,14480,8130
上午,14475,10700
下午,14456,9398
增加,14454,9431
研究,14420,7298
不過,14303,11730
安全,14204,7884
主要,14172,11227
部分,14168,10504
員會,14152,8362
調查,14111,6985
立委,14070,6583
短暫,13983,1423
其中,13940,11540
地區,13926,7602
委員會,13910,8161
消費,13799,6653
基金,13733,5564
科技,13670,6780
自己,13621,8579
蔡英,13567,5595
集團,13565,6298
蔡英文,13557,5592
兩岸,13555,4004
中國大,13551,8326
中國大陸,13545,8344
國大陸,13525,8332
北市,13522,5813
就是,13487,9982
開始,13468,10344
業者,13434,6553
學生,13381,4485
會議,13381,7478
計畫,13356,7471
人員,13342,7774
是否,13338,9571
其他,13211,10585
關係,13171,6905
英國,13140,4690
對於,13119,10169
要求,13092,8733
交易,13029,6175
公布,13016,9967
至度,12975,451
教育,12955,4942
發生,12949,8723
使用,12862,7501
中華,12855,5860
超過,12802,9643
顯示,12635,8858
個月,12607,8654
局部,12583,1625
行政院,12528,6417
支持,12464,7555
手機,12353,4896
技術,12342,6258
台股,12269,3792
重要,12219,9184
現在,12192,9159
立法院,12162,6576
他們,12145,7744
由於,12104,10110
已經,12077,9397
根據,12072,10154
過去,12040,9318
川普,12024,2277
董事長,12008,7425
針對,12004,9540
管理,11972,7045
表現,11963,7600
推出,11898,7053
世界,11829,7296
國內,11760,7755
造成,11506,8689
不會,11426,8367
處理,11424,6976
需求,11377,7521
預期,11263,7190
智慧,11242,4625
推動,11217,7298
同時,11165,9456
不是,11156,7990
記者,11133,8103
提出,11116,7846
最大,11109,8039
報告,11044,6449
出現,11028,8173
宣布,10976,8435
如果,10950,7984
電子,10863,5396
機會,10772,8055
舉行,10718,8761
至陣風級,10695,609
航空,10675,3248
行動,10568,5988
院長,10562,5838
系統,10550,5578
文化,10537,4675
強調,10491,8633
今日,10314,6787
結果,10278,7133
營運,10232,6121
外交,10113,4304
完成,10024,7036
半年,10002,5132
在台,9946,7268
協助,9946,6756
公尺,9852,1894
接受,9843,7469
的人,9824,7202
設計,9824,4832
以來,9729,7755
獲利,9708,4962
交通,9699,4540
參與,9694,6373
執行,9680,6897
網路,9676,5208
通過,9667,6318
方式,9666,7465
決定,9647,7076
價格,9632,5231
除了,9624,8213
政治,9614,5605
雨或,9613,896
高雄,9580,4716
這個,9535,7111
以上,9462,6993
無法,9448,7341
利率,9446,4158
這些,9430,7196
日多,9426,245
許多,9413,7564
加上,9353,7771
品牌,9295,4173
必須,9286,7049
也是,9284,8058
以下,9259,3084
方面,9258,6936
鴻海,9253,2063
發現,9232,6443
經理,9200,6556
客戶,9193,4350
銷售,9123,4648
陣雨或,9106,728
雨或雷雨,9098,722
共同,9080,6711
部長,9075,6146
雨或雷,9067,721
或雷雨,9065,719
應該,9023,6581
最高,9007,6614
需要,9007,6957
股價,9000,4460
維持,8953,6465
陣雨或雷雨,8947,695
陣雨或雷,8915,688
民國,8907,4801
年的,8831,6904
特別,8827,6809
進入,8786,6792
浪多雲,8764,632
這是,8758,7297
受到,8722,7281
積極,8707,6753
預計,8679,6656
更多,8678,7023
分析,8646,6362
組織,8605,5179
環境,8599,5856
印度,8587,1909
不同,8586,6493
業務,8582,4849
昨天,8577,6277
外資,8565,3156
創新,8557,4841
日多雲,8535,132
