token,MI
信用卡,-3.9037555725350974
刷卡,-4.16203519459122
付款,-4.416613228390883
卡片,-4.418669493530782
轉帳,-4.461684284538816
悠遊卡,-4.481668882470383
一卡通,-4.49759684042946
聯名,-4.499075830607713
點數,-4.508331637106095
申辦,-4.559507640642499
繳費,-4.563481085394411
花旗,-4.57046100525626
台新,-4.5843312243675305
手續費,-4.589670402034894
滿元,-4.596920351675552
銀行業者,-4.599883072073688
玉山,-4.655921317045785
中國信,-4.664049222707156
奇摩,-4.674610658476574
開戶,-4.681241237375588
支付,-4.682746592372904
分期,-4.692236621677051
可享,-4.693475693792599
單筆,-4.702639382076818
回饋,-4.7154890813107615
商家,-4.762112347352587
自助,-4.76735118629321
兌換,-4.768391413094488
帳戶,-4.780723584548902
銀行局,-4.781136103933106
財金,-4.801433538959426
手續,-4.802189491251083
提款,-4.807728262546748
開辦,-4.808820070150095
繳稅,-4.817659791667317
三越,-4.820738694154812
登台,-4.824846742349783
永豐,-4.82529626443096
密碼,-4.830180250387654
折扣,-4.831346142314444
加油站,-4.835056101720117
便利商店,-4.843321781988454
台灣虎航,-4.857332496431268
便利性,-4.859052476825542
華南,-4.869231719730976
超商,-4.882985069214225
開通,-4.884066749678513
便利,-4.887950539931524
免收,-4.903089986991944
一銀,-4.909720565890956
商店,-4.912297988778767
機票,-4.916185285082092
上線,-4.92160257816239
合庫,-4.924279286061882
購票,-4.9258672018415135
第三方,-4.926048308800729
全家,-4.927348517789558
外幣,-4.9275324434596035
信用,-4.928117992693875
繳納,-4.9328118686116325
優惠,-4.937550245314333
發票,-4.940516484932568
消費,-4.9467607301072976
店家,-4.947672119644684
線上,-4.951938554529761
流通,-4.956381895449876
百貨,-4.963417426912098
萬張,-4.963787827345556
單程,-4.985875357308394
餘額,-4.989449817666692
抽獎,-4.994756944587628
聰明,-5.00803209518399
現金,-5.011253170127497
購物,-5.011316643366872
理財,-5.011429461780782
高額,-5.013085180453788
儲蓄,-5.017033339298781
實體,-5.021779774323242
亞太區,-5.025851804345969
網購,-5.030734616976169
里程,-5.034659302499256
中信,-5.043587726605919
遠東,-5.049218022670182
郵局,-5.05202900000401
各家,-5.052209730128093
信貸,-5.053334588865014
資策,-5.055815027723412
借貸,-5.060988241221605
銀行,-5.06122901909672
存款,-5.061312180432475
付費,-5.062313320760329
首家,-5.064457989226918
逾期,-5.065608438858351
國銀,-5.065817284489643
便捷,-5.066816155103563
額外,-5.066816155103563
指紋,-5.068840412709406
指定,-5.069562390574965
房養,-5.071882007306125
親節,-5.075303590984423
財富,-5.077422966391286
駭客,-5.079181246047625
星展,-5.087375724662897
管會,-5.096214585346405
客群,-5.097406066153824
金管會,-5.100487369457717
下載,-5.100608189162838
上限,-5.100698686033743
收取,-5.101135821935675
工具,-5.103087391583049
這張,-5.103314925764344
影城,-5.103803720955957
安全性,-5.112117304142613
通路,-5.112887102539559
票券,-5.116164812300795
微信,-5.117526238123845
跨境,-5.117933835039642
客服,-5.1192558892779365
輸入,-5.119880723585563
享有,-5.12057393120585
加值,-5.1213473855187495
第一家,-5.125333370421827
房貸,-5.126672449417301
數位,-5.13102707671872
貸款,-5.131251938989017
普及,-5.131569315507313
即可,-5.1332807838562875
新航,-5.133538908370218
發行,-5.1355778533449294
李瑞倉,-5.137775961313472
超值,-5.138159106006962
辨識,-5.1382442033878375
帳號,-5.140777317294137
新光,-5.146128035678238
語音,-5.147897058417085
訂票,-5.14921911265538
分行,-5.151346273553993
亦可,-5.1514136321399215
自動,-5.1557223959290415
保管,-5.160768561861128
還能,-5.16511490981731
電信業者,-5.166331421766525
檔期,-5.167544535633245
