token,df_chi_square
信用卡,6118.743742660129
刷卡,689.6594229737827
付款,214.26571368961268
支付,118.43287476213868
卡片,94.02825803594553
聯名,87.61196028227215
申辦,67.22273106851422
轉帳,60.73011896321046
玉山,51.40430199385324
悠遊卡,50.176307675442246
手續費,48.49146425433262
花旗,48.12984929238771
回饋,41.137553943910866
點數,39.5713233601966
一卡通,35.53751932109206
繳費,35.09029853138793
中國信,34.41680833403669
台新,31.24918801170075
銀行業者,28.551608729228466
滿元,24.696474778095297
帳戶,16.80763122926217
可享,13.253947624274456
商家,11.633469253870004
單筆,11.617363334791197
開戶,11.229521916122513
分期,9.94156188475063
兌換,8.019197672179043
手續,5.243316323892498
奇摩,4.805694649393884
銀行局,4.803045117584187
開辦,4.79866114226976
提款,4.157731065890109
折扣,3.690184787685904
自助,3.668561018025715
登台,3.435815456785994
財金,2.9705346611600207
繳稅,2.8937714066795683
便利商店,2.8778470627758703
便利,2.7106577491593353
永豐,2.3055722541392685
三越,2.173271611709471
密碼,1.8798221312947827
加油站,1.5788880825152802
便利性,1.4209585868732186
超商,1.2123370654677457
華南,0.8136776907505138
台灣虎航,0.6307229440816731
開通,0.5884640530607919
商店,0.5854014461347155
機票,0.4263687351380407
上線,0.4047326463891058
優惠,0.3008504203839565
免收,0.2744465734694556
信用,0.25531914121338684
全家,0.21449965896620524
第三方,0.1742139613847415
一銀,0.1521541159988128
購票,0.13095146491875198
消費,0.12630339374067198
外幣,0.08562823216526981
繳納,0.07252166139394864
合庫,0.05569294166670629
發票,0.027714033067339397
店家,0.01592586721159146
線上,0.005010763349913725
流通,1.7209577420385317e-05
百貨,-0.01226644238829266
萬張,-0.01392043997557716
單程,-0.04520202971378771
餘額,-0.11390897081232909
抽獎,-0.15382049765627553
聰明,-0.20994627317449746
儲蓄,-0.25144608842410004
房養,-0.2831001362756282
理財,-0.2864205755628573
高額,-0.2871410079951429
亞太區,-0.3813040809872674
里程,-0.42021898231659877
郵局,-0.5323291954338231
星展,-0.6387233460359188
國銀,-0.6982923535006266
網購,-0.6994769879849384
資策,-0.7326212920425439
信貸,-0.7460017688158077
借貸,-0.7534952778566067
遠東,-0.820288060000094
逾期,-0.8220826124603883
影城,-0.9268794010712534
駭客,-0.9610715734694552
李瑞倉,-1.0584574985403152
親節,-1.1260228071017067
指紋,-1.140131981853629
票券,-1.22737062853747
額外,-1.2284397906285165
便捷,-1.2284397906285165
付費,-1.248460052964012
好市,-1.3118792647785
新航,-1.3451108097586209
實體,-1.4181263575247125
客群,-1.4828310764882933
各家,-1.505916050265554
購物,-1.5846654239229347
訂票,-1.598273335387953
這張,-1.61117674241413
渣打,-1.7643979833623071
吳當傑,-1.770633616832076
微信,-1.803612817337916
首家,-1.8570473945052062
東陽,-1.9168815492731788
超值,-1.9488445172222932
現金,-2.0236552409382202
退稅,-2.0574542184473374
退費,-2.1421067787592736
資費,-2.2294246770841286
保管,-2.249245952069761
房貸,-2.327600863217113
全聯,-2.4400461703765237
中信,-2.4507839450012816
加值,-2.4733218132210686
存款,-2.5079101594159927
財富,-2.567136218843562
輸入,-2.7147018136533387
語音,-2.7580830203269544
徐旭東,-2.790524283789555
售票,-2.797796012874089
商城,-2.8225059173014615
客服,-2.8354868200592263
安全性,-2.8482846712737944
電信業者,-2.851127882725296
亦可,-2.8621721159199227
視訊,-2.972725457498516
收取,-3.0147582050983677
檔期,-3.1252720164609187
烤肉,-3.152464319543449
誠品,-3.1624819597008886
遠傳,-3.1803303271259407
下載,-3.214246295253131
玫瑰,-3.2856149827865115
台新金,-3.311544148242678
寒舍,-3.313153231605232
第一家,-3.359571099894453
支票,-3.4295541013860187
谷歌,-3.4526933774492066
送件,-3.4769296988557272
資安,-3.4880286832120007
匯款,-3.6683659509071145
微風,-3.73899439899196
帳號,-3.830264146992601
王儷玲,-3.8669862068756933
橘子,-3.9641494250936287
區塊,-4.039649479547197
白皮,-4.080782445525271
加盟,-4.100834155346855
票價,-4.149414510238158
報稅,-4.174045075525068
跨境,-4.183547138214884
行庫,-4.215565049879864
普及,-4.273477356359682
全額,-4.386560011949418
消基會,-4.409424280615358
台灣區,-4.4109949584057695
提撥,-4.496001230647634
大哥大,-4.52382981757911
驗證,-4.533561571151319
豐銀,-4.536874279127055
在手,-4.549021316626964
張揆,-4.615680424489215
上限,-4.661024755316786
金元,-4.6735411684624575
指定,-4.7556369648050705
辨識,-4.788079810604402
星巴克,-4.883239298787769
銀行業,-4.883375352840188
超市,-4.9423042835329385
浪潮,-4.9718479737827765
中華郵政,-5.068469306584465
護照,-5.088428945143148
姓名,-5.11241057480105
徐光曦,-5.13111242301748
店面,-5.135246516631203
稅額,-5.273974778095301
專頁,-5.3158751210174024
燦坤,-5.375540727225627
米其林,-5.386026149052074
外洩,-5.4222355710218055
退票,-5.4222355710218055
類別,-5.466540751057628
整修,-5.49661615269072
盧比,-5.536796037978251
國泰,-5.549412517084887
出行,-5.627788939030216
滴滴,-5.646329550216785
接受度,-5.6521258909228695
定存,-5.746911633260294
暑期,-5.795739664682605
百度,-5.796360849030545
列印,-5.858330589825753
市集,-5.858330589825753
市面上,-5.859067518552969
稅務,-5.870907192543871
開業,-5.899357360204182
量身,-5.938091990981373
減免,-5.946224137640445
禮盒,-5.965236832970562
威航,-6.065060625754609
華信,-6.080889953401393
授信,-6.101677540609583
次數,-6.15424056598562
清算,-6.164836501415101
新光,-6.186248069841481
放款,-6.216352724920776
票房,-6.219084992828686
麻煩,-6.246718501421692
拍賣,-6.356469638350692
清單,-6.376719765010853
旅展,-6.438972297816995
澳門,-6.444556999274458
單車,-6.4654029778912125
低利,-6.524568530672734
停航,-6.533218081666729
一筆,-6.634640549602505
看準,-6.6583032279115475
車票,-6.690193659257099
陸生,-6.690555190995081
莫迪,-6.728523574037198
蝴蝶,-6.728523574037198
管會,-6.7674890305446
換機,-6.898804941732071
新金,-6.935780344007743
預約,-6.948697852327108
健身,-7.005510768146911
將開,-7.032092827125941
還可,-7.089603003833419
頻率,-7.10464036096541
旅程,-7.10464036096541
櫻花,-7.154626616553706
障礙者,-7.154626616553706
隨身,-7.180143030642229
安裝,-7.2018876690476965
停車,-7.227963262695741
收受,-7.2431330359455295
憑證,-7.2510522859919755
三井,-7.3254257757018975
倍增,-7.3609815515846
申訴,-7.402593661179213
戶數,-7.402593661179213
三家,-7.432077136464764
洗衣,-7.435383196275564
專戶,-7.436704786492879
瞄準,-7.476872497970106
差異化,-7.480436559356347
借款,-7.552751744394025
災民,-7.552751744394025
約定,-7.561383383008987
受災,-7.567593411995938
搶購,-7.5824520280006595
歹徒,-7.599860224933417
日盛,-7.616050644145729
專法,-7.6675849765505015
