token,tf_chi_square
信用卡,15041.009369035712
支付,3322.5488853121765
刷卡,2561.437199889299
回饋,1199.2957730028577
聯名,741.5283562963244
付款,506.0408760338784
玉山,342.32278226027523
花旗,301.3459560780797
點數,266.01783762872054
一卡通,154.28419702132106
卡片,148.5066231894147
申辦,124.5617390018485
繳費,120.52656504365095
繳稅,118.81122340389733
消費,116.20494379039461
手續費,110.76101254375396
轉帳,108.24350868653593
台新,87.07227083135075
滿元,81.61757958242643
登台,54.79329666383831
中國信,50.48911702146614
兌換,45.17209710267294
單筆,42.089499450531235
行動,39.70446589774775
銀行業者,39.53380369783634
提款,38.968248927950995
悠遊卡,36.67087842898797
帳戶,36.57004393960123
自助,31.000333307023496
銀行,30.521399854279988
開戶,25.060876743752527
商家,25.0387989964721
優惠,23.649259634921687
分期,18.52997700120738
財金,17.884053421972883
開辦,16.98160796393933
可享,15.327101313009884
奇摩,14.708883937817912
現金,14.67394358737978
第三方,13.614359962236183
永豐,12.884583747969925
萬張,12.553011924552868
便利商店,10.322038300163372
機票,9.84617746826314
手續,9.710616067487019
加油,9.65353501815808
指紋,9.381388067309642
上線,8.125550649754054
銀行局,7.6780714677811766
台灣虎航,7.55632799176882
加油站,7.3950417264026145
折扣,6.519814835128409
便利,4.568551676357509
合庫,4.414889323621009
理財,4.357916532356556
密碼,4.34942165088532
信貸,3.5725745561906033
信用,2.960004312609448
遠東,2.7331327576872493
商店,2.1916100287535665
發票,2.163139112178946
一銀,1.7862403018224429
星展,1.75625201007016
便利性,1.6286069274643378
購物,1.3736389210906423
繳納,1.1158760623826653
購票,0.9604642178450149
華南,0.9552754231172221
微信,0.6224076430277353
玫瑰,0.5902379612691172
單程,0.5164340407597301
線上,0.2577550968881303
享有,0.19139397328673535
超商,0.1348320442022153
開通,0.09357498630112872
影城,0.09339667483728699
店家,0.03925627742954441
哈佛,0.025251885087743103
印刷,-0.0002235221868848809
退稅,-0.003383298095332756
全家,-0.008362674049681147
免收,-0.013788204649430171
數位,-0.028164098363628185
借貸,-0.036889892043611705
駭客,-0.05321522443343173
房貸,-0.06529564900567746
亞太區,-0.06988110461218629
三越,-0.16862603055502778
流通,-0.268814024995053
憑證,-0.35469042340822726
額外,-0.4018142431937628
抽獎,-0.43868937830955823
實體,-0.5255100997799639
境內,-0.5415761904519067
聰明,-0.5454208632013094
高額,-0.644717166668418
網購,-0.6676045116297259
辨識,-0.7026248689595883
儲蓄,-0.746705975174667
客群,-0.9143342388856499
停車,-0.973770029251881
餘額,-1.0492154819774087
付費,-1.1593074914596653
各家,-1.244357578946943
客服,-1.27221934224548
超市,-1.2967949441336488
房養,-1.3998237616947538
里程,-1.4089735324780335
展延,-1.4329867523502273
退費,-1.47990218792887
外幣,-1.5238903981427514
百貨,-1.5535841270957764
胡志明市,-1.56368993329817
這張,-1.7176073301917347
貸款,-1.782955342292932
指定,-1.8375139247711554
便捷,-2.0405510710528603
票券,-2.1382714085874497
加值,-2.29495449814175
電信業者,-2.5606493960869416
渣打,-2.561097177506017
訂票,-2.6902216195172417
減免,-2.739609340641128
申訴,-2.8032207753753995
頂級,-2.877038458974667
商城,-2.889468296711137
下單,-2.925563558625028
新航,-3.0292983489914556
預訂,-3.096637327827384
第一家,-3.2762120888266937
視訊,-3.3010025357932786
亦可,-3.400829615840771
港澳,-3.4158372057824264
首家,-3.4497405710557394
帳號,-3.5533896868206583
語音,-3.6235073468718317
資策,-3.9113687524512217
超值,-4.001853764625941
在手,-4.0026583861654
金錢,-4.096679230444754
吳當傑,-4.183223846405988
借款,-4.304590572260433
張揆,-4.305277408106666
國銀,-4.31190037002824
區塊,-4.470278251122633
安全性,-4.846877358386332
盧比,-4.853129757046692
上限,-5.016553842940497
利息,-5.020443723123554
下載,-5.181257655849005
整修,-5.441216125164952
看準,-5.466540751057628
受災,-5.482914412713724
市占率,-5.527062964633198
信息,-5.573411796485356
浪潮,-5.577631795207981
還可,-5.6969914607980305
通路,-5.736237891667615
大獎,-5.736661288244492
收取,-5.846533551666878
天內,-5.861477055162674
親節,-5.8766395480693046
均衡,-5.900054552730146
專頁,-6.030086404086442
保管,-6.030086404086442
逾期,-6.113069575393524
清算,-6.140987624071141
售票,-6.160765315027728
驗證,-6.226343234267838
報稅,-6.336268460657736
台灣區,-6.340225636641508
普及,-6.469836923372103
還能,-6.545976685533176
顧客,-6.621709365436315
將開,-6.623088296485356
接受度,-6.671377722100488
數的,-6.743245354424546
支票,-6.81661121121363
八大,-6.947766154093439
大哥大,-7.032909259502064
市面上,-7.047371124976005
三家,-7.129828762380322
廣大,-7.426237624563535
次數,-7.4693101544732965
輸入,-7.4883335126483495
瞄準,-7.524651720429023
警覺,-7.5484841860014535
專責,-7.552751744394025
低利,-7.620580959270352
突發,-7.620580959270352
姓名,-7.637368997097876
快樂,-7.730388583577995
量身,-7.777739455766703
提撥,-7.780569277158884
全額,-7.821632518373184
類別,-7.87316689262805
一筆,-7.89884319523825
金元,-7.910184035921852
日常生活,-7.9231658280468
票價,-7.984979831932507
中華郵政,-8.018055646509895
災民,-8.064494518893426
銀行業,-8.142863110137899
即可,-8.143713930916041
倍增,-8.154947661533408
誘因,-8.19755818684122
麻煩,-8.209783319634461
除此之外,-8.281727252743991
囊括,-8.382577613146584
等同,-8.465107254067668
差異化,-8.611114142800544
稅務,-8.656076204182302
約定,-8.740159993636093
更為,-8.76396624664413
前述,-8.76396624664413
買家,-8.78913316722324
場域,-8.789957963492169
人會,-8.863969944893666
首選,-8.881653065972587
機台,-8.891602521938909
網上,-8.892053309420929
送件,-8.917202764986158
行庫,-8.918176372495545
種類,-8.938083904818459
戶數,-8.938083904818459
減碼,-8.94305866344293
財富,-8.990542759129813
買賣,-9.01229876222213
多功能,-9.07081450863544
商務,-9.105375962745011
車票,-9.108116405324836
如有,-9.209228405272002
隨身,-9.235538135654771
十足,-9.300341241082823
證件,-9.301916282457467
加盟,-9.335436782024813
錯過,-9.379128356532709
微笑,-9.46122414651092
存款,-9.46461270105489
檔期,-9.484376023401508
網址,-9.595040136227336
更改,-9.622078914229343
主軸,-9.639815307952071
外洩,-9.681335361080468
喜愛的,-9.681335361080468
豐銀,-9.748236957227139
連線,-9.760184681506095
裁示,-9.922002253800622
搶購,-9.922002253800622
端的,-9.98580829168731
徐旭東,-9.98580829168731
不可或缺,-9.99765161788793
國泰,-10.029628525455673
旅程,-10.039909481384969
資費,-10.076919181866803
飲品,-10.077848004724897
六個,-10.099008645961282
額度,-10.158212240523264
停航,-10.252802481828937
之星,-10.358080132347615
頻率,-10.364273254483317
稅額,-10.40020111859545
總經,-10.40020111859545
一次性,-10.424002276279523
歹徒,-10.440218524405966
捐助,-10.472405123820996
河內,-10.516245944053122
更將,-10.554039120470057
證照,-10.625741671323704
節省,-10.807603406200883
類型,-10.842245069041173
信義區,-10.91083501462594
全聯,-11.01929438366766
健身,-11.048767493282444
好市,-11.073592075956501
時到,-11.073592075956501
匯入,-11.20773173495523
拍板,-11.262696527789284
獎項,-11.311227004560632
安裝,-11.354635801971035
退票,-11.358754040092428
善用,-11.444463708870414
將陸續,-11.493823266520588
仲介,-11.59147932936521
網頁,-11.607510058632226
喜好,-11.725814824483235
常見,-11.726864296485356
起至,-11.808764707838629
開業,-11.824242025124645
航點,-11.84982355303911
王儷玲,-11.86352321474748
興起,-11.897911860537665
機具,-11.975424530611127
比如,-12.052870758316043
拍賣,-12.058715693407596
盛行,-12.08041049819371
徐光曦,-12.130451239652423
清單,-12.136875415356236
大喊,-12.14204989240989
受影響,-12.199684279321907
防護,-12.209932325562558
並請,-12.219027374976003
假設,-12.219027374976003
個國家,-12.225426585144815
這點,-12.30884523821824
滴滴,-12.375639156228523
推展,-12.37993849520475
全台灣,-12.383476387089166
暑期,-12.449715746870858
收受,-12.475806336069146
遠傳,-12.595845949020678
跨境,-12.633562992368626
將台灣,-12.64292909331957
單月,-12.706399525556208
企劃,-12.712939276701384
步驟,-12.726549851959868
堪稱,-12.7293075170636
扶植,-12.87794459563399
逃生,-12.893907715448906
女人,-12.91073145016425
天天,-12.921189499964006
好手,-12.977643878223077
好評,-12.977643878223077
社交,-13.05498625058201
窘境,-13.0614175796296
標案,-13.0614175796296
則有,-13.0614175796296
隨行,-13.09160428599537
闖關,-13.116936624070874
壓縮,-13.125783377050855
分行,-13.172681807285281
繁殖,-13.201920575562857
不乏,-13.201920575562857
全方位,-13.219503108524574
資安,-13.234896479600751
單車,-13.252612926420928
漫畫,-13.26080555291214
族人,-13.286933897759097
尚有,-13.38737811125722
出國,-13.394700558186159
簡化,-13.467755584142449
花費,-13.526703585113525
灣的,-13.544946682543701
延遲,-13.564823270646443
這套,-13.627273426458444
收支,-13.648847474179767
落地,-13.708635641938733
放寬,-13.708635641938733
車子,-13.788535762497526
偏好,-13.847041273467644
學費,-13.871560688015485
就近,-13.872502736666776
管會,-13.918402557129932
儲存,-13.940898464721855
障礙者,-13.96805376462594
有史,-13.96805376462594
春季,-13.96805376462594
幸運,-13.98528148905844
第二名,-13.98528148905844
印度政府,-14.037726352598186
前台,-14.06947234757554
記載,-14.153695390726112
串流,-14.153695390726112
資助,-14.153695390726112
版圖,-14.287258201121423
首波,-14.301810325539687
可用,-14.305846940780507
增訂,-14.32223656242731
百萬,-14.32223656242731
選購,-14.365137205782426
存放,-14.365137205782426
出行,-14.39461618361687
前三名,-14.39461618361687
通勤,-14.39461618361687
裁撤,-14.39461618361687
比年,-14.480003752034271
洗衣,-14.537120493539756
走入,-14.537120493539756
及第,-14.565415639356681
目的地,-14.620479552730144
可為,-14.65968927592726
谷歌,-14.65968927592726
客來,-14.69438718628935
圖書館,-14.74839340051046
各大,-14.80412185509217
優異,-14.827872292349005
之稱,-14.859091030108312
管理法,-14.859091030108312
票房,-14.859091030108312
舊換,-14.859091030108312
力行,-14.859250547447093
同行,-14.913092082426404
立案,-14.913092082426404
日電,-14.945582065862546
北海道,-14.960873118712694
機型,-14.963347313605576
搶進,-14.99282972666676
曲面,-15.032089409920916
蓬勃,-15.057753234452521
獎金,-15.094856543845042
高漲,-15.1186128532026
米其林,-15.1186128532026
挑選,-15.190978986973523
九成,-15.251363417473494
送給,-15.251363417473494
澳門,-15.281087596498184
接棒,-15.291707218831325
衝上,-15.291707218831325
逐一,-15.291707218831325
行前,-15.335169953101003
外套,-15.336000762497527
起跑,-15.336000762497527
改由,-15.336000762497527
洽談,-15.363123642269759
數學,-15.372251461156571
不定,-15.378277740511155
不足以,-15.378277740511155
撤出,-15.378277740511155
飲業,-15.378277740511155
第大,-15.378277740511155
專法,-15.420665307580702
六大,-15.4279344827482
達元,-15.429196274376567
匯款,-15.444064349041167
中信,-15.459990165752359
