token,df_chi_square
匯率,16415.48335426266
幣匯率,2867.5386157217117
幣兌,2678.3639705817304
貶值,2200.2632865482997
升值,1958.2697956834113
即期,1828.366495282438
外匯,1665.7678540388388
介在,1534.3990107681466
以元,1367.3817045413305
韓元,781.1505515929706
貶分,734.0300850146259
中間,688.7078925177185
英鎊,688.4453364475328
貨幣,677.632258379076
日圓,664.5410988288776
新台幣,619.8518078669955
美元,543.6647867308295
波動,446.68006490182137
高低,437.1745234174531
歐元,435.378367037625
基點,422.37666091053933
幣貶值,398.24629446986114
匯市,363.0997601605658
汽柴油,333.09955465372724
升分,315.09785299626867
央行,298.5938223584312
匯價,292.72468563459597
狹幅,289.3637452701452
開盤,246.5711656329813
離岸,230.99092400199166
午盤,226.3999389753668
今早,209.61663385489092
經紀,202.87043715833343
避險,200.58273187657593
區間,197.3785629782089
人行,190.06595789242309
柴油,177.9308223760805
升息,168.0331930129006
準會,161.54384278564902
熱錢,155.5743703613606
公升,155.01391544126318
汽油,154.28440956277583
新低,149.29126883168195
升幅,147.74159838141895
美國聯,144.72324444572644
跳空,137.00441845613793
走勢,136.27934383857442
早盤,133.00460089794
公式,132.44329915052836
交易日,128.34881305865446
中油,122.19899202278874
走強,115.12609873022484
存底,114.55643624140414
日本央行,109.3750780842386
走升,102.81350373058623
收元,102.07524497909834
大關,96.39863947216092
價為,93.26634852307944
油公司,88.04621050139384
走弱,86.36778695086716
計價,84.94303956590359
出口商,80.71550142778062
流動性,71.94521900040066
降息,70.35837676406422
成交量,56.761508503881615
每桶,56.751118015170476
匯損,55.86583851219829
低點,52.09079074423816
干預,52.00827063718828
利率,51.814101342517084
英國脫,48.977011911564844
外流,47.479330955782416
匯出,45.507236807539755
小幅,45.16195435506595
利率政策,43.70532424971169
聯準,41.43238046607501
油價,38.57425173775962
價元,36.73321392775657
淮南,32.82633441612252
匯入,30.41514085399722
尾盤,28.360222918293122
脫歐,28.103222231315954
超台,27.073155635354215
走跌,26.232697698647033
終場,25.611692251085973
行長,25.35667739229944
震盪,24.49299098593695
創年,22.15141557763413
原油,21.59300185856201
零時,21.022331457445986
基本面,20.44982074861388
國際油,19.77145979648535
兌換,19.05375611373748
人民,18.985324685772042
外幣,18.71252188888168
渣打,18.430109190258865
變動,18.098034363427573
提款,18.030389873719294
放緩,17.990904077966942
流入,16.35335722608019
債市,15.863665940560704
關卡,15.6479925075083
超級,15.342693533333659
上漲,15.201503560729666
公債殖,13.578090009750632
本週,13.299934852638295
利差,12.650653718757674
重挫,12.525744629295055
幅度,11.977983063661085
外資,11.186434542530746
作收,11.15317250395161
創個,10.892652882725287
杜拜,10.785447877372441
短期,10.160940251912638
陸股,9.648601058013156
增速,9.55521150138056
盤整,9.513933379026225
最低,9.491855792501362
台幣,9.303371774863264
升至,8.420002784343719
下跌,8.363764389072493
疲弱,8.320406916431578
劇烈,7.91172164411633
流出,7.868924764085801
調降,7.412468669184004
葉倫,6.8882592388856505
跌破,6.844443205542602
熔斷,6.83892994173207
大跌,6.760798777554045
強勢,6.734169004368725
為元,6.1082606226984835
加劇,5.85574479291467
價位,5.696434022331801
降幅,5.618927047453547
公投,5.546516102305992
撤出,5.530853178950881
走低,5.464955256413249
六年,5.186978246976526
交易,5.179811373945685
回流,5.062200636756974
幣元,4.7426418873462834
動盪,4.621892303308171
公債,4.615619296795649
經濟體,4.6092701870963495
信貸,4.577023584853542
上周五,4.428705269273142
計算,4.290965901842195
均衡,4.076126990819223
儲備,4.004491646797431
出口,3.8723874736951913
觸及,3.828780671520565
師認,3.762764246361654
休市,3.501481341304762
定存,3.428573867302846
普當,3.343946186535932
點大關,3.0642341489641742
本周,2.980573554116513
零售,2.9288675470793883
回升,2.922430057253846
估值,2.798676242549761
新興,2.788743820102539
失守,2.7356798291777653
盧比,2.6310408726889944
日股,2.5961647392056078
流動,2.58580690463263
餘額,2.5614432945828214
高點,2.4888695455348895
債券,2.4533917707785156
庫存,2.45021205898983
緊縮,2.353004202109716
存款,2.3279927523077557
互見,2.220384993901825
逼近,2.210083849414708
低利率,2.0422057123201376
回穩,1.8724780907253427
轉強,1.8401795527301477
財長,1.7434220712974111
學家,1.6350992068934118
格局,1.582333171870252
支撐,1.5536241809784255
價差,1.5242471148640444
下周,1.4801117884079757
反彈,1.4355511354901285
黑天,1.3166127943354984
緩解,1.2633438049785135
出手,1.2379608288504622
獲利表現,1.2117969355550817
調升,1.1439870198999047
不確,1.1306908183095725
資本,1.1067723314726636
投資者,1.077277147074153
槓桿,1.0610305261905564
盤中,1.0534323065565832
國銀,1.0521368847506276
疲軟,0.9915102379436089
塑化,0.9750105528490322
基本,0.8483432230732828
跌勢,0.6935143341674378
動向,0.5950804494832376
偏向,0.5084151232360469
財測,0.5016782540153827
至元,0.4851299296515044
勁揚,0.47230377218670777
波段,0.4582567849733128
回檔,0.4389652851202831
值新,0.41780990288214953
股盤,0.4131472326077833
短線,0.3747288505595276
經理人,0.35828757298124503
權值,0.3374125304734352
選股,0.3264286924459743
暴跌,0.3222640278392506
減碼,0.28076069485183686
提振,0.22967507992230457
相對,0.22355700960714214
賣超,0.21484268522616654
指標,0.2049341324682127
收盤,0.19022167443880955
石油,0.18515660624778732
路透,0.17045973116910884
交投,0.12108742719617051
悲觀,0.10397220700125433
抑制,0.10367090187266685
大通,0.08770897223882107
