token,tf_chi_square
匯率,30057.445752335454
幣匯率,5067.5518487672225
幣兌,4763.124064924568
貶值,4737.149951718345
美元,4698.391282889214
介在,4379.0146794595685
升值,4351.522402784683
人民,4283.428237292218
高低,2904.6960815294833
外匯,2713.8838346377343
即期,2054.9961100059063
貨幣,1772.3181399001862
公升,1769.2426530993012
以元,1580.8453688481425
日圓,1549.6827188359982
英鎊,1404.479847865802
中間,1387.1436115871365
汽油,1241.190896955938
台幣,1226.5701995693164
貶分,1012.5659501485444
央行,958.6665849712691
今早,956.6523740958564
汽柴油,882.560727588312
新台幣,874.404943684885
韓元,831.4851189620387
波動,819.5134155544047
基點,692.2113309557824
人行,612.0062238683242
歐元,587.4725691722522
升分,584.3272290174303
開盤,582.3634942309752
幣貶值,549.8726796494993
午盤,494.72722655624153
匯市,486.2899420901375
柴油,458.70050364222516
存底,431.0105982469694
之間,417.9991495774797
狹幅,402.8332121671431
離岸,384.9838657671378
匯損,352.2618082319976
中油,317.1977833069303
避險,298.69387836710774
匯價,296.2293399191834
熱錢,295.42124871231323
油價,245.70823082844396
新低,225.81561956185394
降息,225.43456673578734
交易日,215.64493970954115
計價,213.2711532469694
升息,199.8902495736827
準會,197.07923703424726
走勢,193.50255934436095
區間,192.73079833164735
升幅,189.64796850142173
幣元,170.32571302240288
外流,161.51537936545202
走強,158.0521846790227
經紀,156.5607816653389
早盤,149.977959273971
大關,148.86700823516884
美國聯,147.521841891203
油公司,143.71841559017844
流動性,128.09932083000214
日本央行,119.93305734297066
跳空,112.36919979954149
走升,112.28121846065777
公式,109.22104563144346
收元,102.63967075809359
淮南,99.15598321796321
走弱,94.75498194190365
英國脫,92.8748564987164
出口商,92.21186081950938
價為,90.96022196726611
利率,84.6041771147812
利率政策,73.79722287729336
低點,73.5122565609414
終場,63.53176552529901
小幅,62.80214108646293
為元,61.59036803522481
干預,55.87280467645846
渣打,52.818529054112716
匯出,49.90205171256519
下周,48.44481976344995
脫歐,48.281900821734155
期交所,46.08931454157584
國際油,45.771546109736924
外幣,45.699739515789794
匯入,39.51250292139592
聯準,34.750395489555885
定存,34.20417453171692
債券,33.98121467219956
陸股,33.04562726641067
超台,31.97811422221268
放緩,30.71870810087984
行長,27.958328999905252
創年,27.190505482868808
存款,27.11209737653566
變動,22.875771995933118
基本面,22.34651983983683
短期,22.326129228706225
價元,22.051981294528485
升至,20.911390500303376
新興,20.85322694697724
走跌,20.751312475730757
本週,20.61210752925188
尾盤,20.119971622722325
每桶,19.703676145474954
震盪,19.636462876076383
利差,17.918018708373825
超級,16.44709119091659
債市,16.07620858690488
兌換,15.370338003886118
六年,15.270891415396969
計算,15.057185791667255
上周五,14.76652844076845
關卡,14.56549485501999
上漲,14.102992142283432
英業,13.8626587650254
公債殖,13.336677765601
原油,13.20895695203949
零時,13.083947001215408
成交量,12.682678246583544
出口,12.316445426333948
葉倫,11.818966166960472
流入,11.77994576448197
增速,11.76214982511535
重挫,11.52369487294457
盤整,11.501158073135676
外資,11.098760123040885
熔斷,10.625063047447094
疲弱,10.579009050329704
降幅,10.298303065920468
強勢,9.849108645828542
創個,9.814392059113999
回流,9.726753346977965
餘額,9.659259736635786
本周,8.198608648810113
提款,7.957740856758946
價位,7.636504635736593
大跌,7.468355586018719
日股,7.3992695297394135
劇烈,7.31125049442842
幅度,7.2318011792295716
跌破,6.586110061747999
出手,6.546797500486671
流出,6.340908927554511
經濟體,5.584591601116263
逼近,5.569330940177942
加劇,5.545839809907452
下跌,5.428123115648509
調降,5.222785673383521
資金,4.626673385390903
學家,4.3657885708008966
資本,4.267783971771563
調升,4.136253704695807
觸及,4.060860879068035
回升,3.9778903837028587
撤出,3.9108394493719114
支撐,3.871149093602937
財長,3.828780671520565
師認,3.6068312898485715
信貸,3.5725745561906033
均衡,3.080058500098569
點大關,3.07963310611809
轉強,2.748470727757319
路透,2.650132916304922
失守,2.5744961827695225
國銀,2.4997635087143735
投資者,2.4598045700580067
格局,2.366134742749791
動盪,2.2617222687230285
高點,2.24974091137107
儲備,2.209170184083414
流動,2.117050130819564
低利率,2.111490955782425
緩解,1.9698217291657085
普當,1.8985130525099938
估值,1.8724780907253427
回穩,1.8117299638841837
刺激,1.802248414315643
獲利表現,1.7900909196511288
部位,1.76256445551249
股盤,1.685819293339279
盧比,1.6335983762935566
因素,1.536992848774471
黑天,1.47630066363489
明德,1.368418704418887
反彈,1.3337978916185544
疲軟,1.3250906394460946
牽動,1.3018843052008213
走低,1.2060101805558847
不確,1.1282803575966498
壽險業,1.1045876466155637
物料,1.0843591979177685
經理人,1.0717141758136588
賣超,0.9718625129976494
零售,0.8988692751695861
庫存,0.8911682368978211
相對,0.8720386496903353
港股,0.861525921216911
動向,0.832961069107443
周一,0.8292926517516378
塑化,0.8100824640593272
回補,0.7717278405775368
不利,0.7476158038587123
互見,0.709054317090646
緊縮,0.6801497686510578
觀望,0.6385477794899919
最低,0.6243211048828194
交易,0.621845978133382
勁揚,0.5463244421238047
財測,0.5397023247066398
大通,0.5312283565327091
前季,0.5031520513606683
李克強,0.4632827590113128
貿易,0.4406190861343532
衍生,0.41706725501783615
公債,0.40575511558763694
泰車,0.39642282834476883
跌勢,0.34648425013142437
不動,0.30553254169392086
淨利,0.26466084120747957
價差,0.26178333646187685
湧入,0.24915871309625304
波段,0.2327514449744554
值新,0.23244720578242548
股表現,0.19705653040997784
盤中,0.19369911782914212
減碼,0.181630319493886
物價,0.16609955153504075
回檔,0.14554265278309245
短線,0.1363735604562869
至元,0.1349744811229812
變數,0.11510304898153473
信評,0.09339667483728699
權值,0.08373526201177033
將使,0.08343812239238264
偏向,0.06562818383862104
休市,0.05811033274579871
定性,0.03555052223223975
公投,0.030852501792932918
槓桿,0.01728997134910225
總體,0.012695663457589514
預期,0.011860999064061638
美國大選,0.006112824194753201
日系,0.005243665302321849
平穩,0.00484362243336891
量化,0.0030433061906024877
加大,0.0014891919819528263
下探,0.0010098136055774864
中長,-0.00017708164756836527
朝陽,-0.0048153342703527655
行情,-0.006169542737172879
流向,-0.006404753260834866
暗示,-0.006956421805114685
公報,-0.00713288174162502
台積電,-0.011907867363835398
股市,-0.012540226359857264
反轉,-0.015273545590179124
悲觀,-0.01566368604444336
反向,-0.01566368604444336
供過,-0.01719509661619607
守住,-0.017721100167978596
提振,-0.019858530555647486
高盛,-0.02090765338461351
歐元區,-0.025436296009323033
杜拜,-0.02569358217364349
暴跌,-0.026150437464004948
壓力,-0.03266792967532152
彭博,-0.0352283169032289
日均,-0.03748232850351174
下週,-0.03869177317798792
將維持,-0.043216429367900655
不大,-0.05927867689658287
吸引力,-0.060065764841010456
蘋概,-0.062350273446313165
上季,-0.06310152053596912
利空,-0.08549581171635484
期貨,-0.08962198055401065
銀行業者,-0.09723226926492909
不振,-0.09803925193035752
接器,-0.09851960153688333
升溫,-0.1060959164664378
調節,-0.1060959164664378
收益,-0.10968053830136934
可期,-0.12122638204876629
權息,-0.1265998570862595
一度,-0.144763750371067
車廠,-0.1554013046656492
衝上,-0.16589365950929305
毛額,-0.17723979992076375
基本,-0.18545378465798948
選股,-0.2155435587152122
恐慌,-0.22546732121868124
大幅,-0.24448747770515356
交投,-0.26301572779613375
收盤,-0.26540751274744406
形勢,-0.2861636506503558
走揚,-0.2993972793181074
收斂,-0.30692753656485167
拖累,-0.3088123964747994
金價,-0.3101310685141997
萬口,-0.3119507049882969
萎縮,-0.3289207511137555
台股,-0.34173721795774165
財金,-0.3449822010426537
連帶,-0.3565260228396011
緩步,-0.3633093629288425
自結合,-0.38684013603707673
配置,-0.39568969390957054
浮現,-0.40062911091049924
中性,-0.415041981017484
廣達,-0.4342517964853553
應會,-0.48137883380961805
衡量,-0.5194417302960304
兩周,-0.5305476800952625
漲勢,-0.5625227002178408
全球股市,-0.5726127642108453
可持續,-0.5817104804447536
此前,-0.6369362745984813
歐系,-0.670630616779194
七年,-0.674131486705888
換算,-0.6796554430466537
降溫,-0.7252128635792019
翻紅,-0.7332371643004493
推升,-0.7494612062287851
止跌,-0.757738062333543
減緩,-0.7825284492867345
利用率,-0.8061649734388827
風險,-0.8428771795012228
財政,-0.8802013987917483
中期,-0.8871558709070956
新科,-0.8964541350894156
新浪,-0.8964541350894156
力道,-0.9087460719342028
季度,-0.9613116604987322
年線,-1.0252380150711315
一次性,-1.0605086865359334
降至,-1.1439122429618003
億至,-1.1588880352247992
抑制,-1.1623014475327
十一,-1.181086792689297
至點,-1.188148097240617
聯想,-1.188148097240617
一舉,-1.2046769949597953
負面,-1.2500062734331447
欠佳,-1.4385192294873335
油品,-1.5174427764245153
中小型,-1.5681653748509619
本季,-1.5934657435559736
擴大到,-1.5992789707586326
關稅,-1.610021221912232
晶圓,-1.6278935809753214
上攻,-1.6338193686056084
儲蓄,-1.6376868912052016
開高,-1.6460536045046399
供需,-1.7117483369998123
偏多,-1.7176073301917347
利金,-1.7248702855278697
憂慮,-1.7421625523177453
上證,-1.7658673002102778
日經,-1.8024227882766384
大宗,-1.8680063347872837
評等,-1.8950403532108242
五個,-1.9171083864647638
轉為,-1.9171885353101878
勝出,-1.9414590156010036
假設,-1.9414590156010036
趨緩,-1.9670191386431986
金融股,-1.9851649326161294
有利於,-1.9907248576785528
漲元,-2.001896652948028
小漲,-2.030540340577538
到期,-2.035312038832337
第二季,-2.045632824578327
運行,-2.0645524322418565
跡象,-2.075287773009117
境內,-2.0767904761661917
高風險,-2.0784394008155775
賣壓,-2.083779635630994
減稅,-2.096363310479945
分批,-2.1119225644273545
港澳,-2.131047205782426
彭博資訊,-2.2357620767742667
美分,-2.242500338095394
好轉,-2.246835558611943
基期,-2.2520456142034133
概念股,-2.283757620658687
低利,-2.305757095633989
留歐,-2.3181024286553433
高台,-2.324143419219663
持平,-2.3288212470684044
昨日,-2.352441929030576
新航,-2.3527497640857953
台新,-2.379948250705614
單日,-2.388181917414135
境外,-2.3970566127114017
平盤,-2.4317028098603743
亞股,-2.4406709115119174
該國,-2.4729925619850266
態勢,-2.5107376048185395
較佳,-2.5220827682974143
日盛,-2.555619969756051
歐派,-2.5816150436509253
信用,-2.5840884426285666
作收,-2.6027644244740347
題材,-2.664312772965895
房地產,-2.688204367144979
季線,-2.702934152939806
靈活,-2.7147018136533387
美系,-2.729653189861238
湧現,-2.7835290684368053
瑞拉,-2.8401473945052063
營運表現,-2.8621721159199227
全球化,-2.971920692260399
多空,-2.990756928137756
第大,-3.0159992594984977
