token,MI
台灣產業,-3.9030899869919438
台灣國際,-3.905162995614809
台灣,-3.908537759439556
大哥大,-3.9095240969973535
台灣人,-3.9147105995160856
自台灣,-3.917330426106554
將台灣,-3.929175555306185
台獨,-3.9640464129333695
燈會,-3.9656113198015452
台灣民眾,-3.9737228833028784
台海,-3.9767737611283507
資費,-3.9814750926114737
台辦,-3.984760033443263
展台,-3.990240162710844
訪台,-3.9922097555737484
文化交流,-3.9927007612585004
張志,-3.9948603603475887
國台,-3.9989263418959364
兩岸關,-4.002687289658477
台日,-4.021779774323242
九二,-4.026525105888566
來台,-4.028753151594576
奇摩,-4.034762106259212
經貿,-4.035452741679451
僑界,-4.0357155522665344
職演,-4.036358951616661
南向,-4.036997792589488
楊泮池,-4.0377885608894
肯亞案,-4.038752588992017
騙案,-4.041091196439486
產業界,-4.0416107592184956
參展,-4.04275198042095
電信詐,-4.043172062170843
台籍,-4.0439054856990815
貿協,-4.044896648887539
之星,-4.045287729041749
電信業者,-4.046855580859727
同胞,-4.047060926438016
周子,-4.048232109688531
同屬,-4.048304679574555
技產業,-4.053011011687321
台商,-4.053274772807912
各表,-4.054738789579965
辦事處,-4.0557438571857
遣送,-4.056673905049774
台灣區,-4.057991946977687
商會,-4.060557948427164
問團,-4.060697840353612
貨貿,-4.060697840353612
兩岸,-4.060905640584475
史事,-4.061886990861211
客來,-4.0627908298594555
酒會,-4.0627908298594555
自由民主,-4.064017304783319
資策,-4.0652224962452435
良性,-4.065960876648962
灣的,-4.068044879929666
僑胞,-4.068129899568144
聯誼會,-4.070581074285707
協會會長,-4.071063355825445
組團,-4.072232386092297
多台,-4.073741160529268
遠傳,-4.0737862141609185
誠品,-4.0768015443022705
陸生,-4.076948364615333
工研院,-4.078066240346834
創新產業,-4.0781075879435615
出台,-4.078646729694732
備忘錄,-4.0799080989066665
對台,-4.080221472848902
詞時,-4.0813942163487456
大陸委員會,-4.082155877415827
中華民國,-4.0821778684573635
互惠,-4.083147433265226
李登輝,-4.083206246886456
對岸,-4.0837725807859435
交流,-4.085392343912798
中原,-4.085568044709025
王品,-4.085615356053035
意涵,-4.086637128427217
星展,-4.087375724662897
看台,-4.088136088700551
一中,-4.090054276641586
留學,-4.090365413000138
獎學金,-4.0916978034696205
互助,-4.09182272637625
登台,-4.092018470752797
國際化,-4.097225748741267
工業局,-4.099685911705333
內涵,-4.100579390748855
學界,-4.100720923903735
高等教育,-4.102044129007129
現狀,-4.102527068735517
攤位,-4.103279676019436
高齡化,-4.103779806720005
接軌,-4.103779806720005
邦交,-4.10445642020734
產值,-4.105156564016809
東南亞,-4.105992889499896
深耕,-4.107348082061786
文創,-4.107470885535502
貴賓,-4.107532985268489
蔡明忠,-4.108070811321005
生技產業,-4.108339474788838
展覽,-4.108613184057306
大陸國,-4.108851916714845
投書,-4.110057812520695
回台,-4.1112625136590655
接見,-4.111365929419026
影展,-4.11234960930028
種子,-4.11315348640514
率團,-4.113241934417782
第號,-4.113395346578726
肯亞,-4.113550147678888
風景,-4.113943352306837
東亞,-4.113943352306837
外貿,-4.114597903270081
新創,-4.1154824956138585
標章,-4.115531268086468
第一家,-4.115573533132671
亞太區,-4.115583232726902
永續,-4.116252557423207
前台,-4.116643637577417
月台,-4.116969806937025
金河,-4.116969806937025
研討會,-4.117170265967541
觀光局,-4.117747415885869
全台灣,-4.117933835039642
接受度,-4.117933835039642
跨界,-4.118298941813481
國際間,-4.118298941813481
產學,-4.118333370009773
台達,-4.119186407719209
典範,-4.119799096955889
致詞,-4.119838461966738
聚落,-4.120782776837142
合唱,-4.121585094600712
學子,-4.121803022755441
智庫,-4.121988901679458
陸委會,-4.122019799673666
雙贏,-4.122815042978444
贊助,-4.123482592806921
謝長,-4.124126211615628
豬肉,-4.124275184940784
宋楚瑜,-4.125362231992324
舞蹈,-4.125461668016337
福祉,-4.126095313808242
洪素,-4.126515124843255
故鄉,-4.126822880482852
