token,lift
台灣產業,11.313375
台灣國際,11.259501785714285
台灣,11.17234685565681
大哥大,11.147001838235294
台灣人,11.01467202970297
自台灣,10.94842741935484
將台灣,10.653850896860986
台獨,9.831861607142857
燈會,9.796497905027932
台灣民眾,9.615221348884381
台海,9.547912022292994
資費,9.44511123853211
台辦,9.373939285714284
展台,9.256397727272727
訪台,9.214513574660632
文化交流,9.204101694915256
張志,9.158446428571429
國台,9.073102722772278
兩岸關,8.994869773817681
台日,8.608002717391305
九二,8.514459104046242
來台,8.47088953125
奇摩,8.354492307692308
經貿,8.34121716101695
僑界,8.336171052631581
職演,8.323830310880828
南向,8.311595076650942
楊泮池,8.296475000000001
肯亞案,8.278079268292682
騙案,8.233622916666667
產業界,8.223778614457832
參展,8.202196875
電信詐,8.194266939252337
台籍,8.180440384615384
貿協,8.161791964285715
之星,8.154445616883116
電信業者,8.125060227272726
同胞,8.121219398340248
周子,8.099348011363636
同屬,8.097994736842107
技產業,8.010712732919254
台商,8.005849044421488
各表,7.978906578947369
辦事處,7.960462715105163
遣送,7.9434335106382985
台灣區,7.919362500000001
商會,7.872709407216496
問團,7.8701739130434785
貨貿,7.8701739130434785
兩岸,7.866409110980277
史事,7.848653906250001
客來,7.832336538461538
酒會,7.832336538461538
自由民主,7.810248730964467
資策,7.7886048994974875
良性,7.77537409090909
灣的,7.738152597402598
僑胞,7.736637886597939
聯誼會,7.693094999999999
協會會長,7.684556603773584
組團,7.663899193548386
多台,7.6373203781512595
遠傳,7.636528125000001
誠品,7.583690934065935
陸生,7.581127577319588
工研院,7.561638817480721
創新產業,7.560918935643565
出台,7.551538485221676
備忘錄,7.529637541806021
對台,7.5242063397129195
詞時,7.50391581956798
大陸委員會,7.490767064846416
中華民國,7.490387770137523
互惠,7.4736840909090905
李登輝,7.472672047970479
對岸,7.4629337954110895
交流,7.435151561977949
中原,7.432144160583942
王品,7.431334558823529
意涵,7.413871276595745
星展,7.4012733644859825
看台,7.388326530612246
一中,7.355765796703296
留學,7.350497881355933
獎學金,7.32798153409091
互助,7.325873975409836
登台,7.322572815533981
國際化,7.235297965116279
工業局,7.194427791262137
內涵,7.179641826923077
學界,7.177302419354838
高等教育,7.1554679487179484
現狀,7.147515420560748
攤位,7.1351399147727275
高齡化,7.126927863436123
接軌,7.126927863436123
邦交,7.115833038869257
產值,7.1043705568720386
東南亞,7.0907027595884005
深耕,7.068611089030207
文創,7.066612612612612
貴賓,7.065602230483272
蔡明忠,7.056857673267327
生技產業,7.052493506493506
展覽,7.048050151209678
大陸國,7.044176886792454
投書,7.024644607843137
回台,7.0051857585139325
接見,7.003517857142858
影展,6.987672794117647
種子,6.974750606796117
率團,6.973330280172414
第號,6.9708674242424244
肯亞,6.968383152173914
東亞,6.962076923076923
風景,6.962076923076922
外貿,6.95159186746988
新創,6.937446933962264
標章,6.93666788321168
第一家,6.935992847411444
亞太區,6.935837939698492
永續,6.925156818181819
前台,6.918923553719008
金河,6.913729166666667
月台,6.913729166666666
研討會,6.910538705583756
觀光局,6.901361135957067
接受度,6.8983993902439025
全台灣,6.898399390243902
跨界,6.892602415966386
國際間,6.892602415966386
產學,6.892056034482759
台達,6.878532
典範,6.868834821428571
致詞,6.868212249614793
聚落,6.853294471153846
合唱,6.840645348837209
學子,6.837213586956522
智庫,6.834287871747212
陸委會,6.83380166184971
雙贏,6.821299632352941
贊助,6.810822732997481
謝長,6.800736657303371
豬肉,6.798404243119267
宋楚瑜,6.781408991228069
舞蹈,6.779856498194946
福祉,6.769971742021276
洪素,6.763430706521739
故鄉,6.758639610389611
非核,6.75248560209424
觀光產業,6.734151785714286
台廠,6.7333379909365565
展覽館,6.732837804878049
住民,6.730007692307692
海基,6.7277762573964495
樂團,6.711324152542373
代理商,6.7063820876288665
實踐,6.702641037735849
奠定,6.697518
蓬勃,6.690396890862945
立言,6.689647826086957
第一位,6.678540725806451
僑委會,6.674077338129497
評比,6.661682741116752
矽谷,6.659377926421405
參訪,6.657665123456789
高鐵,6.6523520309477755
開創,6.652264499999999
人才,6.651777903225807
慰安,6.642715596330276
推廣,6.634020942408377
這塊,6.630032730673316
證交所,6.626765311804009
參賽,6.617775182038835
珍惜,6.616610227272727
首家,6.605970689655172
思維,6.6033168367346935
施振榮,6.599468750000001
友善,6.59312432705249
行銷,6.580720259232955
陸方,6.58022831632653
小吃,6.577543604651163
展店,6.57313407821229
增進,6.569056451612903
知名度,6.568042708333333
工藝,6.5669590517241385
舞台,6.564734703947369
友好,6.554759536082475
為題,6.5534794207317075
深厚,6.549848684210526
高教,6.549848684210526
培育,6.542506627620222
中華電信,6.53842535971223
客家,6.5382491883116876
綠能,6.535767314189189
瘦肉精,6.533927807486631
租稅,6.53090284090909
美豬,6.523438004032258
科技部,6.521404060509554
期許,6.519142096412557
場域,6.5179938271604945
建交,6.511294964028777
華人,6.5110830078125
協會,6.503118939658179
東協,6.493475591715975
感動,6.490947167266188
建構,6.490117946708464
米其林,6.484495426829269
創投,6.482945224719101
遠洋,6.479478409090909
媒合,6.4759318965517245
展出,6.47412789017341
扶植,6.472065878378379
亞太地區,6.470907670454546
詮釋,6.464785714285715
企業家,6.464785714285714
受邀,6.464785714285714
創作,6.462506170662906
論壇,6.462471904080172
跨境,6.461500762195122
深化,6.4531751077586215
詐騙,6.442766689373297
巴拉圭,6.440782797029703
返台,6.43692025862069
拓展,6.431685646186441
美食,6.422761105092091
明德,6.414800257731959
夜市,6.412929144385026
邁入,6.41020497185741
烘焙,6.400988486842104
文學,6.394516304347827
賽事,6.3945163043478255
願景,6.387607794943821
展期,6.387255996309963
競爭力,6.384341548157725
得獎,6.381903846153846
研習,6.378817819148936
辦事,6.376629545454545
不可或缺,6.375757944915255
民航,6.37564298561151
影視,6.363773437500001
共享,6.352895192307692
獎項,6.351788930084746
設廠,6.348856012658228
互信,6.347438118811882
創新,6.3468151720542245
曹啟,6.34506746031746
正義的,6.343948598130841
高科技,6.339129691689007
全世界,6.336535920647149
陸客,6.334416370106761
橘子,6.327819915254238
人文,6.322892665952891
徐旭東,6.322180147058823
友邦,6.322180147058822
藝術家,6.322180147058822
演奏,6.3116723684210525
國造,6.309382211538462
路徑,6.297592980295567
觀光,6.288504195070792
文化部,6.2802593503937
低薪,6.2789231249999995
一行,6.278626963350785
生醫,6.277543445121951
講座,6.276938322368421
校友,6.271976315789474
跨足,6.26651626394052
企業界,6.26586923076923
優良,6.264430785123967
交涉,6.264430785123967
技職,6.261490566037735
好手,6.259684644670051
評選,6.256244239631336
看準,6.252128289473683
外勞,6.249292857142858
創意,6.246592663702506
劉德立,6.244983
主辦,6.243166806020067
再生能源,6.243051448170732
建仁,6.242686839323468
優質,6.239078363914373
包容,6.2349266666666665
電信,6.224568774445893
作品,6.224217002467105
攜手,6.220566159018987
探討,6.218038167938931
深刻,6.2138570534223705
海峽,6.2082145312499994
外銷,6.207974841101695
品嚐,6.207851923076922
跨國,6.2071312111801245
頒獎,6.206948929961089
研究院,6.20458655104712
建言,6.204108870967742
推展,6.203072088068182
展場,6.202508223684211
不承認,6.202256345177665
金牌,6.200599759615384
喜好,6.181534793814433
農產品,6.180789536741214
洽談,6.178226063829787
精品,6.178041186635944
中華,6.17678976810415
能量,6.173018002028398
美好,6.170931818181819
亞太,6.159951512455516
教廷,6.159504166666667
闡述,6.156580813953489
競賽,6.156074036918139
漁業署,6.152888157894737
蔡總統,6.151973502304147
培養,6.147696046373365
戲劇,6.147151734104046
並邀,6.143967696629213
面向,6.139487579617834
輸台,6.139040697674419
國立,6.135269937586686
特展,6.128078125
藍圖,6.128078124999999
創立,6.12629929245283
優秀,6.123906526548672
論述,6.12104244402985
我方,6.114131656804734
卓越,6.091817307692308
大賽,6.091817307692307
共識,6.087399746192893
創業,6.086309335443038
實力,6.084081666666666
文教,6.080573643410853
食品安全,6.077735436893204
互動,6.077485945485519
副教授,6.076898571428571
見證,6.075701388888889
引進,6.073496052631579
示範,6.069154296874999
處境,6.068764072847682
