token,tf_chi_square
台灣,578873.7019070697
表示,71167.75573829577
發展,50899.380006708896
兩岸,46478.83035194002
英文,39475.86425398222
合作,39186.98013225949
政府,36559.60166349566
國際,33757.1388410866
日本,31963.304053525386
市場,30971.466058944225
未來,30171.828664866105
希望,30007.37087872214
產業,29537.859705631403
總統,29000.890861666692
指出,28551.930660403064
今年,27053.65088051675
企業,26540.192234801143
今天,25829.455838458056
全球,25549.911497220477
可以,25125.15641098288
經濟,24651.691768292778
代表,22728.372913271294
中華民國,21981.3899545118
政策,21807.26160509763
文化,21289.766826485724
科技,21223.132066625894
交流,20763.69484916934
目前,20544.175576487218
社會,20236.917747511452
公司,19840.73162477123
兩岸關,19317.96594497426
國家,19238.039996337666
推動,18679.39233180871
一個,18349.292202086093
重要,18245.877477288006
透過,18092.40585287658
就是,17574.59501130022
台北,17311.983722497287
品牌,17309.96448042878
問題,17236.09431574177
共同,17154.144873078494
包括,17121.150973927874
提供,17006.688961461612
大陸,15996.771751731036
金融,15688.983754663255
投資,15684.075963364732
認為,15579.136799188342
董事,15224.040111097554
活動,14885.091479437473
智慧,14825.224582897674
世界,14353.557390167382
服務,14255.00947354182
人才,14240.562961751322
以及,14216.155662686473
成長,14197.356585529074
創新,14187.045776114166
蔡總統,14170.518838868886
中心,13964.134977405913
相關,13721.750113126118
協會,13649.440509457616
技術,13379.305815643402
舉辦,12885.666986732578
新政府,12830.956063000445
南向,12591.501287116114
大家,12589.278416931738
自己,12577.610472246495
大學,12425.475692223552
基金,12335.35052199419
美國,12255.811118036487
推出,12224.705151346445
我們,12135.26693448291
和平,12035.241702345837
機會,11943.909529864715
平台,11942.9609216593
中國大陸,11699.354651430276
九二,11634.005174770475
環境,11543.197092358425
除了,11488.340656176275
觀光,11444.59995380805
因此,11342.389687099012
出席,11306.148439403354
成立,11304.160298606153
非常,11193.422327594251
影響,11181.38814003178
台商,11048.650858928813
很多,11028.912833597285
銀行,11017.557523962001
消費者,10997.463853064337
國內,10920.286600434836
中國,10800.243272679596
不是,10777.037730504755
海外,10745.83741364011
去年,10728.053783838448
進行,10535.141007977594
因為,10499.305674534873
政治,10427.117324159592
共識,10397.815491879574
成為,10372.471207632798
不同,10114.037655501023
沒有,10080.56069308925
支付,10051.712069714507
提升,10044.61660780122
產品,9947.864238807377
強調,9919.901721198286
需要,9881.953398785974
生活,9873.980960747678
設計,9810.149376168109
支持,9750.301116172179
努力,9511.610354135635
旅遊,9444.360658298863
參加,9394.773777328535
方面,9330.885714994516
集團,9288.568918262768
持續,9279.552680607605
可能,9271.658206649108
亞洲,9249.3226999313
研究,9248.30710365834
轉型,9215.853746475934
管理,9165.580082285589
人民,9124.768835163337
第一,9117.154668785808
參與,9116.732535093242
協助,9090.997872434715
經驗,9076.804518772831
議題,9066.571890463036
時間,9065.8579429104
整合,8936.503838906763
計畫,8932.182200473651
邀請,8924.947169817437
教育,8921.23306609572
研發,8783.231404921886
旅客,8723.399001070242
國民黨,8658.215816958804
應該,8627.731898213548
基礎,8547.711783810511
同時,8545.919229498531
印尼,8525.133963259113
積極,8523.66563810699
行政院,8367.895702581316
這次,8359.439042427828
新加坡,8288.499112955245
媒體,8279.298952362906
方式,8241.76397856253
模式,8190.488334004253
資源,8188.7522884398895
工作,8172.938256443089
如何,8143.788219038064
打造,8138.106697994652
一定,8115.176951451591
出口,8093.552666430129
如果,8073.524744549328
過去,8070.116824953906
提出,8064.217603499357
經營,7979.073595354205
立委,7967.119633160301
其中,7966.718957369343
不能,7935.663064334615
建立,7931.92565869115
最大,7845.020041242404
這個,7834.847904189745
外交部,7800.707221769844
數位,7766.423773357887
作品,7750.369205594143
行動,7748.46162574905
成功,7729.299176383849
團隊,7721.322886132183
民主,7696.756853280855
了解,7646.19262465361
使用,7641.927830035985
加入,7538.011670611115
是否,7494.303251285211
醫療,7423.953728273605
電子,7387.471943283605
業者,7324.445906165728
民進,7286.67246595818
商品,7272.193955373876
趨勢,7246.563132095087
需求,7234.042589535737
這是,7229.796258136337
論壇,7192.621452339357
期待,7184.131964851246
主要,7172.541433948296
東南亞,7150.155405930769
價值,7116.548676026606
專業,7106.1829400144425
一起,7082.205783189749
能力,7043.010482212675
網路,7020.529247253606
完成,6972.24193705699
總經理,6954.854966795862
記者,6907.557348502166
超過,6906.113125597773
開發,6882.201902672468
競爭,6870.192552756365
吸引,6860.404294644185
近年,6823.435560815195
規劃,6812.868395635716
其他,6800.296974032871
接受,6795.117236089067
結合,6793.26373187467
開始,6793.253414807821
多元,6786.5471803660175
藝術,6768.837301100784
目標,6748.136319964983
上市,6743.58756408277
領域,6727.468022952497
不會,6715.950687229204
我國,6712.837260061109
雙方,6698.826900586535
商機,6697.542986776128
行銷,6694.500479798216
青年,6635.90179134658
必須,6619.834205543666
增加,6576.212813679101
創造,6575.444994138412
相當,6561.5903873478155
民眾,6535.069622779871
教授,6533.376423234127
學生,6532.520949733271
解決,6532.246751178501
外交,6505.811917433595
此外,6492.08785591979
策略,6445.366472646
特別,6401.933526934147
地區,6390.692890292046
獲得,6357.039239554836
應用,6353.464484108292
億元,6352.643813208164
正式,6337.452746474164
還有,6269.815165702754
一步,6244.929915353101
看到,6237.549499805452
進黨,6174.761981360807
甚至,6173.221372736247
立法院,6156.292112643953
另外,6144.14279351759
分享,6124.256402861886
投入,6095.295008417064
組織,6087.368015825087
創業,6083.364064670225
舉行,6070.749851762198
每年,6051.363678000142
已經,6021.645564732249
美食,6018.222786631357
力量,6009.840918476579
陸客,6001.4490604318435
開放,5987.234012466795
香港,5985.049778096335
這樣,5982.258107746215
提到,5959.850918048613
才能,5943.6234979703595
還是,5942.269738176898
健康,5933.514023869223
至於,5918.13039378171
資訊,5876.769495930884
高鐵,5874.4475063165255
台大,5870.042169349292
安全,5825.578020009084
燈會,5816.26842178281
宋楚瑜,5777.889712513281
歷史,5774.349659854375
不要,5764.623543786242
遊戲,5750.281587502441
只要,5715.224518828363
競爭力,5712.229863391937
進口,5710.0267144299805
關鍵,5686.447057492793
改變,5663.580185546736
雖然,5602.805616873985
太平,5596.211460118702
互動,5538.5977540608765
取得,5523.894827410001
全台,5522.388646114389
體驗,5521.843456511139
內容,5514.4575490986035
農業,5509.928945411589
傳統,5492.881886292848
預計,5490.044064164893
加上,5456.616224860284
這些,5450.353022402178
貿易,5450.063034441812
能夠,5448.115134727054
只是,5421.996404475497
廠商,5405.679281901666
肯定,5377.632109767301
穩定,5354.629389639953
城市,5322.328353411437
通路,5316.8305962250015
優勢,5312.505505306316
擔任,5297.611994118572
食品,5283.270706478649
改革,5262.759707755332
主席,5257.896867400387
展出,5218.99005799
自由,5212.911726203778
空間,5181.643745013133
感謝,5178.89393807681
溝通,5160.164529962571
陸委會,5140.439024087689
許多,5134.52964942681
所有,5126.448971333502
整體,5120.533273013885
資料,5117.07765699969
重視,5044.184175954659
挑戰,5036.45285508072
來台,5019.98598006437
當地,5015.132226279136
韓國,5009.284473882543
各國,4976.565966337389
經貿,4973.012209160602
經濟部,4972.676711530729
此次,4946.384565176781
要求,4933.094796767648
方向,4920.033293028236
理事,4898.534942978416
規模,4892.939179755096
銷售,4887.285165700172
中華,4879.304755962253
部分,4841.358612837973
工研院,4838.26561064513
鼓勵,4817.97109451026
台南,4813.287737369586
永續,4808.827047796045
以上,4797.1774982171855
選擇,4796.266347649455
只有,4788.250755900522
地方,4772.725571323071
時代,4752.699688737214
航空,4752.05160556741
他們,4750.181883815548
處理,4746.670221280919
輕人,4745.728774656165
什麼,4722.047745349687
學習,4696.052779983029
單位,4693.661695177945
不僅,4684.128612358329
成果,4678.022886673202
進入,4668.042680042604
所以,4664.976413448593
現在,4634.042735922484
月光,4609.591726165854
特色,4599.803449059078
拓展,4596.404702457287
堅持,4596.097150457869
台灣民眾,4595.623852862378
相信,4575.071922620231
台幣,4558.004406718097
不過,4504.72064999383
擁有,4492.246515766142
地震,4487.898601823055
前往,4483.389111757615
客戶,4473.97217752959
現場,4458.395367490649
主題,4454.533901338228
大會,4441.835441840935
方案,4435.9680372065595
創意,4419.888593926542
宣布,4395.3109968079625
調查,4394.309678223414
設備,4383.640644451361
機構,4360.398776503631
建議,4348.256917873905
多年,4347.467846802016
過程,4339.90649898677
布局,4338.559014408988
手機,4324.130425921783
萬元,4310.882610111576
跨境,4297.995393459199
尤其,4283.192049462694
人次,4278.727817816612
最佳,4277.393435940136
中信,4244.527349805408
演出,4230.054077898901
無法,4207.0323800922715
系統,4199.6404402350145
立場,4197.401945318782
學者,4161.759615179007
包含,4161.43083476141
受到,4159.432593034117
討論,4134.98396156825
思考,4133.701942297837
桃園,4131.455661418781
針對,4127.870872630223
知道,4122.035671466372
參展,4109.0876484420505
日前,4105.289039199269
全世界,4105.014545471066
矽品,4074.291603375907
促進,4070.6253191102933
交易,4062.1451203496845
主任,4061.0331965448026
但是,4060.3964113273823
工具,4043.0084770155513
之一,4040.740597104275
夥伴,4036.1714262794217
用戶,4032.0968203565776
申請,4029.4260863595073
消費,4028.9939717689444
例如,4024.564614699051
快速,4010.1941133428586
繼續,4008.6052897620953
進步,4006.6593733084574
精神,3989.3021232185156
台北市,3979.718312817696
台灣產業,3958.143466291281
強化,3945.083463932204
一樣,3941.9235635962814
通過,3927.034473991224
一中,3894.4431475300044
電信,3893.7787237614116
第二,3891.6365511343065
根據,3872.018608526014
知名,3864.5201903555776
電商,3862.76194063322
表演,3862.488751781178
完整,3853.2355500711283
原則,3830.4323833746143
首度,3830.051923940418
世代,3820.3705778953736
攜手,3810.2254580235
很大,3807.2090016145703
主委,3803.215210950276
事情,3799.4396473385345
國外,3796.37786565017
越南,3794.9524397133114
分析,3791.5935646965904
總統府,3777.7398546917025
平均,3776.651424967989
當時,3771.5214443352183
制度,3756.5206874954915
大哥大,3755.4875160944775
觀光局,3748.1876985623658
角色,3719.5664120604906
主辦,3703.473666160616
事件,3696.230500416946
成本,3692.657481462416
精品,3691.0265604355386
簽署,3689.594094948757
玉山,3687.739585332135
報告,3680.6095614240703
旗下,3673.0078917238684
能源,3672.0095788706794
直接,3663.4572881799977
具有,3658.9569873146957
中小,3657.4090596252727
台股,3648.6252825935794
職演,3647.6118699778644
維持,3638.0648399845445
海洋,3629.2426158702797
顯示,3627.97453977923
回應,3621.944556874409
辦事處,3621.4062895896163
符合,3604.2713523028006
展現,3602.524139078006
呼籲,3591.506241360597
主管,3583.825834962176
北京,3570.6506092059026
國人,3551.951606595085
更是,3526.937142326972
太陽能,3500.941591816493
引進,3492.8515931003412
系列,3491.8955591895674
感受,3487.3371909882317
現狀,3484.46920446018
品質,3474.3641875425915
保障,3468.398510272896
創作,3466.04224029557
