token,MI
台積電,-3.9163285929474085
張忠謀,-4.009908288660249
積電,-4.107333894454503
台積,-4.253395341715642
奈米,-4.364579418697803
晶圓,-4.403512319120456
聯電,-4.524117817395886
理器,-4.5402427237134
體產業,-4.578639209968072
半導,-4.607860337739564
填息,-4.627062260298018
億至,-4.630088714928206
權值,-4.637775543594497
大立光,-4.641313290475636
認售,-4.647588845672826
英特,-4.65154535440788
除息,-4.654912298653238
大立,-4.669006780958576
財測,-4.672097857935717
半導體,-4.692714532602861
代工,-4.694485324113767
聯發,-4.715321026947863
蘋概,-4.730929021564695
股盤,-4.732948060449464
高台,-4.748188027006201
高通,-4.752597145911255
精測,-4.7558748556724915
點大關,-4.796492706580755
翻紅,-4.814580516010318
權證,-4.815134816636814
封裝,-4.8190171986890595
市值,-4.826415827046502
聯發科,-4.831965024742974
發科,-4.839028885598818
在點,-4.859338479128867
金融股,-4.862588772174592
萬片,-4.864985460659794
股王,-4.867698011903102
股息,-4.869025746531999
參股,-4.875506465359855
可成,-4.880255731597916
月光,-4.885361220031512
超台,-4.894088742877154
多空,-4.897388008167473
量產,-4.89804976235242
值新,-4.904584978078895
法說,-4.904695513707362
賣超,-4.911690158753861
紫光,-4.916251433049914
跳空,-4.917330426106554
盤勢,-4.921975331152318
波段,-4.922898380345496
股漲,-4.924279286061882
上攻,-4.933579309139844
封測,-4.936513742478893
機台,-4.9408785478813435
期指,-4.942154009831586
超億元,-4.944482672150168
美律,-4.944482672150168
尾盤,-4.954984259375235
產出,-4.955619038268128
權息,-4.962332903097381
晶片,-4.963294964252859
平盤,-4.968058210640469
說會,-4.9681235819782765
矽品,-4.971547367647795
刷新,-4.972287012132967
雙鏡頭,-4.972641249087276
本季,-4.975584971791366
美系,-4.976518904150477
漲元,-4.976752804509923
電路,-4.977992435060293
南京,-4.979548374704095
創歷史,-4.981428760453548
施振榮,-4.982271233039569
偏多,-4.98741087269198
台股,-4.98754894119796
蘋果,-4.989060013935987
廣達,-4.989449817666692
市占率,-4.989449817666692
股指,-4.994170456339276
指期,-4.994437140094603
年線,-4.995972510716957
之上,-4.9964004714156625
第季業績,-4.997951437324731
季線,-5.0
外資,-5.000474379601402
買盤,-5.001769022738847
收在點,-5.006829181615132
加權,-5.009609321219574
多頭,-5.009942659637427
大盤,-5.012837224705172
利用率,-5.0138399831324305
亞股,-5.01416037745305
小跌,-5.018268886311088
股表現,-5.018700498666243
終場,-5.0218781088604905
宏碁,-5.02389076306161
攀高,-5.030434793366122
交投,-5.031632847869068
開低,-5.032476547953558
熱錢,-5.035029282202368
三星,-5.03540725044438
訂單,-5.0362926239695165
萬張,-5.036338494494167
陸資,-5.036628895362161
科技股,-5.037904357312404
認購,-5.0379370122604925
漲點,-5.04164196928364
大關,-5.04386730428608
龍頭,-5.05026831213468
概念股,-5.051281183233955
拉升,-5.052471180067903
到點,-5.052924683707729
股跌,-5.058426024457005
失守,-5.058558048924325
選股,-5.062581984228163
開高,-5.067623085352905
群益,-5.068009067735211
第季營,-5.068085528031518
至元,-5.072447863388656
運算,-5.077654726086152
第季合,-5.080932435847388
為點,-5.082218282773107
短線,-5.083156509335109
投審會,-5.088136088700551
盤面,-5.090942356933415
英業,-5.091415702464636
走揚,-5.093095760582658
道瓊,-5.093421685162235
抗跌,-5.093421685162235
投資案,-5.095169351431755
國泰金,-5.098066590207998
賣壓,-5.098643725817057
領頭,-5.10301385505426
交大,-5.104183515017681
美股,-5.105551722188771
應鏈,-5.105586436983655
至點,-5.10577901454142
小漲,-5.107209969647869
先進,-5.110354766024164
水泥,-5.117271295655764
走勢,-5.118174508075395
高峰期,-5.121585094600712
結算,-5.121585094600712
護盤,-5.1249387366083
強勢,-5.127211047779871
股為,-5.129590749525225
早盤,-5.130812631483322
控股,-5.131569315507313
協理,-5.13242675800085
匯損,-5.133538908370218
網通,-5.133538908370218
憑證,-5.135039063512626
富邦金,-5.1352386932481116
題材,-5.135427148222605
調薪,-5.137173193025312
資本,-5.1374514977332675
追加,-5.138159106006962
生技股,-5.13917917572291
純益元,-5.140450902786547
記憶體,-5.14092684199243
上季,-5.146128035678238
盤中,-5.14720569003244
塑化,-5.147897058417085
中小型,-5.148032839090976
泰車,-5.148602654806093
張數,-5.151207561207513
日盛,-5.1514136321399215
十大,-5.152967460208544
互見,-5.153161298409442
股本,-5.153509989300837
中裕,-5.153509989300837
轉強,-5.153814864344529
台達,-5.154901959985743
季增,-5.1556733535844685
自營,-5.160894828610645
多方,-5.161795667933643
回檔,-5.162058637655213
產能,-5.162248031881392
投顧,-5.162365234548924
調升,-5.164002759447943
最先,-5.164352855784437
跌停,-5.165013379838612
亮麗,-5.16830101462943
成交,-5.170442257688933
類股,-5.17341042040791
群創,-5.174156759278482
零組件,-5.1801258751640535
法人,-5.180388338682196
力成,-5.181843587944773
可維持,-5.181843587944773
繳出,-5.184880624670255
震盪,-5.184903209473916
強勁,-5.185096745342494
大漲,-5.187923404668654
改寫,-5.189396725835218
萬口,-5.190184204712632
效能,-5.191057509816683
行情,-5.191068415025334
高點,-5.191229492153587
廠區,-5.191730393362857
定案,-5.1917862475822
業界,-5.192838972246236
庫存,-5.1947125141340935
味道,-5.1947125141340935
財務長,-5.195899652409234
高檔,-5.1974894037569115
缺貨,-5.201397124320452
水位,-5.203131826411859
守住,-5.204119982655925
減碼,-5.206286044412432
拉高,-5.207005670893413
面上,-5.207325122531136
新高,-5.207456743003257
淡季,-5.209515014542631
關卡,-5.210407706494972
股價,-5.210537946251072
狹幅,-5.210586024905156
紡織,-5.210923690710869
激勵,-5.212009942514835
工研院,-5.214285987364822
南台,-5.214843848047698
交易日,-5.2165353574183575
那斯達克,-5.216957207361097
收斂,-5.218360421770535
出具,-5.2208549402996125
機殼,-5.223005326816299
持股,-5.223303299028264
股利,-5.223507227348183
推升,-5.225714596250758
占率,-5.225867859914637
下探,-5.226685810554666
基本面,-5.227322237737022
走高,-5.227735514191989
