token,df_chi_square
台積電,3807.232520604801
積電,2282.1148591819183
台積,1757.151211808391
張忠謀,723.7970794804971
晶圓,235.44715665089765
奈米,142.89870085432628
理器,100.20322465297662
半導,80.98582001987889
半導體,73.52233145835349
代工,68.75256552150333
體產業,64.54397072976731
權值,63.15448901073659
大立光,40.76633974400998
聯電,30.151023574037193
英特,29.8291936315848
億至,24.89240163865088
大立,21.84238117777788
認售,20.07472571939004
財測,17.79910804124943
除息,17.08700832420075
填息,16.31438445244277
聯發,15.527862028223707
蘋概,15.19913747609562
高台,10.102123337539798
高通,9.446704005315512
股盤,7.868240982607783
市值,6.88910939294547
點大關,4.678390164001768
權證,4.501168371349336
聯發科,3.9026905091605473
翻紅,3.45661349417439
金融股,3.440097214515705
發科,2.5844134747370893
封裝,2.5330964291194675
股息,2.329955241704601
月光,1.8920799159526345
精測,1.7410211737039245
可成,1.2729840669661752
在點,1.2108091915797015
萬片,1.1186434542530739
股王,0.9689545990044859
超台,0.8115309625793584
量產,0.47461310108266475
參股,0.4555026411438696
多空,0.4293956022835918
值新,0.41780990288214953
法說,0.38734453110230155
跳空,0.2957732948476279
波段,0.2724454792408287
賣超,0.21484268522616654
股漲,0.18935600166680017
盤勢,0.17252672396739493
紫光,0.11274873437883678
上攻,0.09340696172156744
封測,0.06471049891168666
機台,0.029135014625940526
超億元,0.022095399451775008
期指,0.01902576032703952
美律,0.006312971271935776
尾盤,0.0003974063477299309
產出,0.00012584177697702592
權息,-0.002200850208627093
說會,-0.0180463389755006
施振榮,-0.024308817619079156
雙鏡頭,-0.025659578402155974
晶片,-0.026662917144890146
刷新,-0.028406619647304735
平盤,-0.03019195081449953
美系,-0.03964613350348599
電路,-0.040939746530463575
矽品,-0.048039560501881094
廣達,-0.056954485406164546
漲元,-0.07049281079260875
偏多,-0.10517688594447351
年線,-0.10647374243967411
南京,-0.11091234265003191
本季,-0.11368510361384768
創歷史,-0.139652298526821
市占率,-0.14238621351541175
季線,-0.19913829648535508
第季業績,-0.30724908417804175
指期,-0.33274061864022403
利用率,-0.3642744204011948
股指,-0.4026113083234718
之上,-0.5272977864916956
買盤,-0.528588038622265
交投,-0.5374433156259225
小跌,-0.5438722686104702
股跌,-0.5513573545406718
多頭,-0.5722285570095055
亞股,-0.6139594573021581
熱錢,-0.6526568004749955
英業,-0.6791430829705623
陸資,-0.6796554430466537
宏碁,-0.6958979292233963
收在點,-0.7074240870063311
攀高,-0.7805371389461522
股表現,-0.8170890573142935
科技股,-0.8769730276083698
加權,-0.8773601014040727
拉升,-0.9280604351755835
大盤,-0.9375665674521122
選股,-0.9560764197187014
泰車,-0.9924308689992084
開低,-1.0382126726982879
中裕,-1.0447091593914823
交大,-1.0481816552399725
力成,-1.0994756000262849
蘋果,-1.1176979075972913
調薪,-1.2265425073129703
到點,-1.2327695766203228
失守,-1.2714302091169767
台股,-1.308869547828662
護盤,-1.3678654778912132
認購,-1.3691814088306111
群益,-1.3874831329700084
抗跌,-1.399369099413805
大關,-1.4152799680287045
概念股,-1.4290331923345772
投審會,-1.4771059795352384
台達,-1.4837121482426778
運算,-1.4837644195960953
萬張,-1.4843686005106937
領頭,-1.489897399993252
為點,-1.5986160208111808
國泰金,-1.6038287859302756
生技股,-1.6127485502725327
盤面,-1.6376868912052016
投資案,-1.6407690300463997
匯損,-1.681388512198276
小漲,-1.6987766386508776
至元,-1.8583799296515053
外資,-1.862276409342965
高峰期,-1.8968938884657764
東陽,-1.9168815492731788
追加,-1.9488445172222932
純益元,-1.999114657960447
股為,-2.0880314189540465
開高,-2.1651559812669188
終場,-2.1675001948260557
網通,-2.1858050658577604
至點,-2.2614303499937147
第季營,-2.4479906551100217
富邦金,-2.571480011694754
無薪,-2.5976192365924033
缺貨,-2.6079728773194035
第季合,-2.7195700815014163
龍頭,-2.7503401256406543
