token,tf_chi_square
台積,8346.639398217405
台積電,6594.962956062187
積電,5159.705602358333
張忠謀,1909.7040586776131
理器,433.5926062517399
奈米,425.97011309622457
晶圓,272.1476799057616
半導體,251.41018009166632
半導,233.58125084946911
英特,172.55081021681417
體產業,143.75960967319403
權證,110.26745915541532
權值,106.14938031470497
代工,89.70256705495261
認售,87.95028819312402
市值,85.37330712820832
除息,57.779640806235975
億至,46.70094303522481
南京,41.08144174508759
財測,33.62609349721339
填息,33.086901691559696
調薪,31.743172204843855
股盤,26.449591470758634
高台,25.040771326196403
高通,24.482541010501127
蘋概,17.611319556722762
股息,15.825083116471117
大立光,14.881747348935662
大立,14.188964353769839
本季,12.053978211311783
點大關,9.508561848156308
聯發,8.682186786195182
聯電,6.410784296485351
認購,6.01076397016349
產出,4.3035629157597395
台股,3.7568049181703715
翻紅,3.290262887773121
美系,3.031752426502457
量產,2.9842774639846046
機台,2.6479191886055786
跳空,2.627049799541493
外資,2.5208772943390976
發科,2.469389815914872
尾盤,1.6645064416638327
金融股,1.3498829853544663
陸資,1.1377250110788815
在點,1.124774631523682
法說,0.9678644008155757
交投,0.8602879340998595
超台,0.6311420644400557
晶片,0.5970681388310349
多空,0.4780303094327224
盤勢,0.4635146642759797
投資案,0.4398248140718944
交大,0.4330440186029188
期指,0.40564498770469004
波段,0.38495914699465744
平盤,0.3187495388323339
年線,0.2808233155003164
值新,0.23244720578242548
可成,0.18679334967457398
漲元,0.1668762447847653
股王,0.16633896206761445
賣超,0.13221755102046362
上攻,0.10463569513622001
參股,0.07252966666841841
訂單,0.046707152417799984
失守,0.02142744727068197
封測,0.0164500848710867
封裝,0.0045147743928714065
股漲,-0.0016237382883015751
季線,-0.003810177529969174
年薪,-0.004916533434859096
說會,-0.009250145541559628
聯發科,-0.014893205542600164
權息,-0.019858530555647486
刷新,-0.031175136723156582
小跌,-0.03419790471290621
市占率,-0.03985841917865216
創歷史,-0.053782249112709055
之上,-0.09942316876556645
加薪,-0.12780622126539645
股指,-0.21007406409227486
利用率,-0.2967930726124368
電路,-0.30544367777788317
開高,-0.3411345630538634
運算,-0.40301752178775613
多頭,-0.42083855592884084
群益,-0.4507106971125695
偏多,-0.5341927262313387
買盤,-0.5397527843437249
大盤,-0.669668285381427
領頭,-0.6849181476324034
攀高,-0.7916950183731838
科技股,-0.9427048715345242
股表現,-1.0352209219856425
熱錢,-1.094290609820143
投審會,-1.211442271364776
大關,-1.2368832351688328
開低,-1.359326890532825
加權,-1.3694517053797688
至點,-1.5758555247768489
追加,-1.5971091838295601
拉升,-1.6375958196344615
減碼,-1.6439260997486624
萬片,-1.8153829587649977
終場,-1.8902939246105215
純益元,-2.0175374586797403
至元,-2.0252517059473374
盤面,-2.0823043170906455
賣壓,-2.083779635630994
哈佛,-2.115818291337743
為點,-2.2783461179030082
施振榮,-2.287779140809022
第季業績,-2.3170494784355937
護盤,-2.4955814239815535
第季營,-2.5192438059200386
高峰期,-2.604192982208457
第季合,-2.730877536564852
亮麗,-2.7479096520694424
道瓊,-2.9181551854166523
轉強,-2.9996243327729926
抗跌,-3.144704820338506
亞股,-3.360205757541091
張數,-3.3932554308046825
小漲,-3.3995228987170725
股跌,-3.4547298481318
資本,-3.5394420709945207
收在點,-3.5480263363345874
到點,-3.6133736341394345
調升,-3.720460933611473
效能,-3.752699882752506
