token,MI
日本首相,-3.9030899869919438
日本央行,-3.9030899869919438
日本政府,-3.904045530791952
日本,-3.9044682632420584
晉三,-3.904621891514691
安倍,-3.9078537767880075
福島,-3.919029188093391
九州,-3.9213787727042533
自衛隊,-3.928325810408017
熊本,-3.930242233035558
共同社,-3.9320536829272603
自民黨,-3.935274670363345
輸台,-3.945493835545031
日方,-3.9485568823715504
核災,-3.963164885117923
京都,-3.9729811572693383
知事,-3.9779924350602935
台日,-3.9785110841662616
鳥礁,-3.9785570242394948
慰安,-3.9960338127823984
億日,-3.9986190942836144
北海道,-4.000642923110611
億日圓,-4.004231155768559
三菱,-4.03360860098108
公海,-4.03981055414835
正吳,-4.062367747037975
東京,-4.072314787094708
夏普,-4.073373974469877
鴻夏戀,-4.081670046451319
日經,-4.091639047536107
廢鋼,-4.104004829772657
利率政策,-4.111196382478788
社長,-4.12461572098768
美日,-4.1340821160481696
大阪,-4.13422881237853
日圓,-4.141437984893744
大臣,-4.160830081017248
三井,-4.164002759447943
豐田,-4.166871925236295
豐興,-4.16790781000148
中日,-4.168647664493706
日股,-4.178884159239852
輻射,-4.182756931040399
謝長,-4.199267479861513
革新,-4.212671767756113
解禁,-4.213665300562155
出資,-4.22037406405035
野村,-4.225608898489663
彈道,-4.234083206033368
日式,-4.2379782499168925
郭台銘,-4.24328714217285
任天堂,-4.25242466223048
鴻海,-4.259389071298139
核電廠,-4.2603759067414355
日系,-4.285424922333405
核武,-4.287005973387986
韓國,-4.292521728353132
試射,-4.2945478681360605
防衛,-4.295200452003257
等國,-4.310237997450805
鋼筋,-4.3222192947339195
公債,-4.322446495618988
櫻花,-4.326691985985118
強震,-4.32877880015566
索尼,-4.329801738234005
日商,-4.334662596782223
保安,-4.345046824648355
台灣虎航,-4.3454491354523945
交涉,-4.347386100353757
公債殖,-4.351335113975377
亞太地區,-4.351566060262076
液晶,-4.355387657986574
釣魚,-4.355981362087105
官邸,-4.371611069949688
威航,-4.374261909198405
東海,-4.3743816980508825
捕魚,-4.375566336665843
郵輪,-4.380211241711606
單程,-4.383815365980431
紐西蘭,-4.3968297537463545
旅展,-4.400414627799893
大橋,-4.404249482579045
鮮半島,-4.409803114504728
南韓,-4.409933123331294
海警,-4.413003755107914
漁民,-4.413128087912056
避難,-4.414973347970818
諸島,-4.419235349613313
北韓,-4.419636957690956
手遊,-4.4200397052800255
島嶼,-4.420767538586474
核試,-4.423063741628874
量化,-4.423344588446132
鐵道,-4.423676935492696
軍演,-4.424793374364347
重整,-4.424920976681087
澳洲,-4.42660135362508
首相,-4.432192096437378
芮氏,-4.433392750351488
航點,-4.434128219590599
扣押,-4.434950031291571
本部,-4.439648429563474
震度,-4.443880321580983
協會會長,-4.444096012909928
入主,-4.445756326579739
新股,-4.447158031342219
電機,-4.447158031342219
升值,-4.448271131862451
友好,-4.448952639192971
進口,-4.451274597537052
琉球,-4.452010534136631
東亞,-4.454740474842306
歐元區,-4.455113689779956
廉價,-4.455176003358067
顯示器,-4.455556863228046
簽約,-4.456100580960289
澳門,-4.459392487759231
經濟體,-4.460123008506587
亞股,-4.461318408795269
航行,-4.462397997898956
海嘯,-4.462397997898956
風力將,-4.462746129766819
參院,-4.46318547677637
東經度,-4.46398823944838
甜點,-4.464721321264298
北緯度,-4.46661584732138
會談,-4.468633144494143
捷克,-4.4724261335112825
參議院,-4.472756449317212
食品安全,-4.473970374040705
艦艇,-4.47403017774252
新加坡,-4.4741305283180255
漁船,-4.475232641622404
核能,-4.478054218519708
太平洋,-4.480242626732351
新航,-4.480326394594874
可達級,-4.481016298603187
半島,-4.481372131873321
台灣人,-4.481442628502305
海域,-4.481817333841476
限定,-4.481878635906918
峰會,-4.483219772931113
亞洲,-4.483793050039503
觀光客,-4.484420493461162
口感,-4.484946592231619
負債,-4.485153349903652
武力,-4.486666572625893
領土,-4.486822597230375
漫畫,-4.488116639021126
食安,-4.488379768070013
追加,-4.489355711136674
外銷,-4.490672154951283
磋商,-4.491139263877091
平價,-4.491577171130632
核子,-4.491647507916259
課題,-4.491921712586151
動畫,-4.492915521902894
發射,-4.493250755020198
三重,-4.493358453590348
對策,-4.493810052562924
彭博,-4.494228334485876
溫泉,-4.496006598880037
有機,-4.4966341273973764
漁業署,-4.49759684042946
精靈,-4.503501799939833
每公噸,-4.505149978319906
芒果,-4.505149978319906
造訪,-4.505149978319906
動向,-4.505149978319906
春季,-4.505149978319906
收購,-4.505478864728583
食品,-4.506393307202034
外電,-4.5072329294681985
災區,-4.507855871695831
口味,-4.509305938091064
之星,-4.510827111211596
港澳,-4.512173761846869
亞太,-4.512947216159768
首航,-4.513022601419792
參展,-4.516145362621369
錯過,-4.516629796003336
海上,-4.5170492016196135
國土,-4.517739105627927
亞太區,-4.520701826026063
大戰,-4.521059980209193
入股,-4.5212966142704625
家電,-4.522878745280337
泰國,-4.523041068018876
合資,-4.523477359409438
貨幣,-4.526489838834203
美國聯,-4.527133961018538
地震,-4.527860450510377
二次,-4.528079938966146
版圖,-4.528828077793539
問團,-4.530132266406983
王毅,-4.530132266406983
貿協,-4.530704082792294
島礁,-4.531478917042255
方針,-4.532656399413536
排名第,-4.534474063271615
高齡化,-4.534839974584277
對話,-4.535391506405305
聯準,-4.535391506405305
關稅,-4.535532607313627
台廠,-4.53642725559518
飛彈,-4.5369488697953235
刺激,-4.537797009869887
低利率,-4.538717325966174
貨櫃,-4.540477940661649
行事,-4.541463137948856
災民,-4.542426097283299
準會,-4.542704984763288
援助,-4.543095863783352
魅力,-4.5434767651821515
貶值,-4.544015239379465
軍艦,-4.545021490357598
機票,-4.545683524756993
金正恩,-4.546022861522717
艦隊,-4.546542663478131
蛋糕,-4.549055464018988
權重,-4.549353640811959
寶可夢,-4.549771633608329
挑釁,-4.549820373239367
面板,-4.55007148309424
反向,-4.550654898660085
冬季,-4.551726120361261
和服,-4.551893381862232
引進,-4.553454657894461
發光,-4.55503077370365
各國,-4.555703886638187
水域,-4.557212018339293
客源,-4.5573279899849775
喜好,-4.557423261342583
組裝,-4.557908027482705
震央,-4.558154505628881
國籍,-4.558281066749375
東南亞國家,-4.558926644593436
條約,-4.559507640642499
風味,-4.559656142774875
三越,-4.561101383649056
僅次,-4.561488168132306
米其林,-4.561631334272354
客群,-4.562292864456475
大師,-4.562292864456475
蒲亭,-4.562292864456475
升幅,-4.562833367926245
利率,-4.564560725912297
展店,-4.5648784109453375
料理,-4.564902672529205
來台,-4.565630725701287
協定,-4.5657713651072775
宣言,-4.565847818673518
喜愛的,-4.565847818673518
專屬,-4.566466471886256
觀測,-4.566746049566418
組團,-4.567451862904756
故鄉,-4.567731962548069
海巡,-4.568075494017595
金價,-4.568201724066995
搶進,-4.568201724066995
盤價,-4.568201724066995
東南亞,-4.568455712308578
品嚐,-4.569875307956561
暗示,-4.571209547045625
防空,-4.571209547045625
票價,-4.572096767950519
農產品,-4.572559521837565
航線,-4.573477673666905
外長,-4.57467419083833
概況,-4.575187844927661
兩國,-4.575187844927661
影城,-4.575529943788913
匯價,-4.576505886855574
夥伴,-4.576748780867445
知名度,-4.578578895478439
外國,-4.57924160917357
型基金,-4.580870692258024
頂級,-4.580984965244318
片面,-4.581126084492319
職員,-4.581375392468112
