token,df_chi_square
日本,73665.16080053251
安倍,5047.951286070449
東京,4924.009082503338
日本政府,4257.201623260043
日本首相,3441.046338866054
日本央行,3121.386296457733
夏普,3043.217155504265
熊本,2703.760946369543
晉三,2649.5146165322726
日圓,2494.016804040604
日方,2477.8127795149617
億日圓,2023.3130717732552
福島,1925.4395551207926
億日,1811.7947784086657
台日,1766.6679900358415
共同社,1761.627244099414
九州,1662.660842340753
韓國,1605.500558291768
大阪,1596.690581170715
京都,1462.0059824856573
核災,1447.5083192637087
日經,1377.285278732776
鴻海,1336.232044811086
社長,1328.9364871500698
三菱,1130.319710168909
鳥礁,1043.1116233754435
自衛隊,1025.90233605796
輸台,977.9356916819165
亞洲,974.0911685117444
北海道,964.9751088103176
自民黨,894.4485724711112
大臣,859.8736335992832
郭台銘,837.2199747615675
日股,774.1178784144194
美國,746.7063572558327
新加坡,743.6145943531379
南韓,722.2516355443236
台灣,710.4366177828975
美日,676.3855303271259
全球,668.4924010766658
革新,655.896987291246
鴻夏戀,653.3699825218254
知事,648.2258464202949
公海,637.903356206912
慰安,637.403201053231
利率政策,628.1758274223006
市場,602.1669625979438
進口,590.5431816034347
經濟,579.4829313606025
澳洲,577.6593928171169
合作,567.4155627072766
輻射,513.7743761649767
升值,512.4498810076435
食品,512.2283294378205
地震,501.97379036366925
利率,499.72715570895565
強震,481.2768104180215
正吳,471.4342298474079
歐洲,449.27638993301144
各國,442.74502386907767
海外,439.8520951343978
中日,438.7044859010845
貨幣,438.40827895966527
海域,428.8450848242681
出資,428.62489985708623
國際,417.0443095375132
規模,415.20968004716195
太平洋,405.3912299582254
最大,404.4998650365848
北韓,395.4044047106358
收購,389.411335986789
中國大陸,373.24682620663015
央行,352.7651851467624
謝長,350.55571045361444
解禁,334.2983783209959
協會,326.3557914115792
香港,322.67712717321325
美元,320.49293497137575
首相,319.05486391802634
新聞,318.2032448577136
豐田,315.7621144060206
東海,312.55850551185523
核武,308.99684905662605
集團,305.92641617952665
簽約,305.35789032202683
核電廠,298.0417457574924
等國,297.48602240138905
三井,296.8398814208632
液晶,296.12839296213036
防衛,294.47611160488856
面板,294.06225261974754
釣魚,288.73872103818564
刺激,286.3370253019744
總裁,285.46622965551217
報導,283.18143918319004
印度,282.36034880940247
出口,276.4433988697066
廢鋼,268.444708874728
彈道,267.1117822756803
投資,265.98198888144276
夥伴,265.00446259412644
技術,263.7288196697247
吸引,257.02044766383693
品牌,256.05414518122745
日式,253.34281188475063
海上,250.93958777807694
成長,249.79527283913743
日系,246.84763015921556
野村,246.2855045912719
升息,242.0287583818721
引進,236.0746422240785
大廠,234.61651039190528
國家,234.1915887510892
推出,231.95519785696993
泰國,231.68253461405715
公債,231.11731385746515
漁船,229.85282676143845
貶值,228.62964926717117
漁民,226.30295274482336
生產,224.22140325054326
雙方,221.28289931973947
島嶼,217.48017689746683
豐興,215.5606361713675
協定,213.99812226905334
亞太地區,213.99044459563402
布局,213.02156723573992
印尼,212.63244077431486
旅遊,211.78701320170467
聯準,211.56878405351898
友好,211.1003617797177
顯示器,206.5389256330495
入主,206.31144187956994
商品,205.6910635350459
交涉,201.23745106355977
貿易,200.6717594193861
主要,199.44666994757938
東南亞,197.2167796339753
國內,196.47162959873728
今年,195.63668500530147
捕魚,194.95850067006043
地區,192.96916249166946
經濟體,192.20066094339887
資金,190.11459498048131
我國,189.83867396397542
彭博,188.01857596811544
日商,186.87089698863733
越南,184.51265664901007
世界,184.47439462801145
飛彈,182.6427892134915
開發,182.24781389995053
亞股,181.04006565199248
索尼,180.4104685635662
紐西蘭,179.0759605462795
擴大,175.25428678802933
知名,174.99683530846502
外國,169.65893292534113
會議,166.35301769505844
任天堂,166.20015090003943
新興,165.3594804981071
南海,164.08430967309968
以來,162.25698071927778
中國,160.51737811204546
策略,160.39714226389808
經營,159.01494790951807
交流,157.99457673617425
專屬,157.9484672190227
產業,157.3524531104104
電機,157.2596417159525
商機,156.2855340593828
領土,155.99427162094926
可能,155.14160370035316
外銷,154.47534664105254
觀光客,153.83689226700696
消費者,153.10998910861994
觀光,152.70681430922951
指數,152.43440393107883
美食,152.15246124782868
準會,151.828962423223
試射,151.79961707448206
限定,151.70218121980443
強烈,151.25826576480011
來台,150.86743942375315
分析,150.72108675213389
企業,149.98141217746468
航行,149.90021693730688
海嘯,149.90021693730688
以外,149.54395177168752
人次,148.58999996977218
兩國,148.0569378846682
廠商,146.8363225132023
決策,145.8153072154913
近年,143.00650589713234
芮氏,142.34968839324256
鋼筋,142.34547011833337
量化,141.71784076249756
加上,141.21286409212505
重整,140.77938269888503
保安,140.02319943368556
包括,139.31746957792362
發射,138.8517745888267
戰略,138.08550953161102
美國聯,137.8855689429842
預期,137.61232434681682
銷售,135.97165346853888
擁有,135.85628562444487
以及,135.31357659525798
琉球,134.32963715833344
開幕,133.82619378752622
海洋,133.4673494751301
拓展,132.62324331298797
產品,131.38306646228128
參展,131.07097081050185
航線,130.3733102855445
外交部,130.00688183773127
負債,129.92699333168926
公債殖,129.8747736035006
加拿大,127.19717601344473
旅客,127.16629304371715
有機,126.79805245098174
歐元區,126.54857886484521
本月,126.07285505892672
優勢,124.84848527415392
重建,123.60430316063709
核子,123.51922931592097
競爭,122.50376657001026
歐美,121.7362892373124
對策,121.01904320111126
投資人,120.68577733132256
去年,119.88823928265494
國人,119.5879967329024
本部,119.46275109639146
旗下,119.15605796760939
旅行,118.90096071033147
首次,116.74161870336589
政策,116.67328552208201
工廠,116.55327216326339
櫻花,115.00583973130783
本周,114.4067566094282
食品安全,113.53882516552386
首度,113.26046918948875
密切,112.47588021758365
援助,112.4188409196613
外交,111.97736168507531
成為,111.80524447524876
機票,110.91344002226676
參議院,110.04201208612358
英國,109.85629778028894
協議,109.5349579356278
內閣,109.08007318236774
西亞,109.02990333789977
扣押,108.89761265534203
東亞,108.86232234757554
消費,108.86069310786624
透露,108.57542334535749
研發,108.14553496156161
入股,108.115514788619
便宜,107.7603367695562
此外,107.44564260288857
官邸,107.4325654778912
展出,106.87573126110651
銀行,106.06508955111502
可望,105.91935833417263
俄羅斯,105.83971776046626
對話,105.78439202675949
台灣人,105.74483505296402
認為,105.67962557406037
月底,105.2255647536754
造訪,104.00786552145138
獨家,103.19825479858113
一步,102.93138629518745
廉價,102.69937113008305
談判,102.50838844260011
事業,102.38669482275948
威航,102.1505735567891
手遊,102.14711489229943
方面,101.94088012500737
遊戲,101.75051927996073
汽車,101.1382432019606
德國,100.3613292700099
除了,99.92479694561084
避難,99.02530732599521
機器,98.30096792297597
上周,97.12144395737452
正式,96.56025216296953
價格,96.09148702879534
區域,95.63542500513445
競爭力,95.47379641769471
協會會長,95.30995931598561
預計,94.9071815447691
航點,94.60181727001627
課題,94.4081397997894
股市,94.02497191706175
帶來,93.95317322794403
鮮半島,93.94312151738157
看好,93.38880895782306
災區,93.32399872711537
主張,93.0724432040197
避險,92.68916989827876
日將,92.47045517471344
目標,90.93944114518835
台灣虎航,90.87625419408167
觀測,90.48774897629318
口味,90.35290739642868
資產,89.51375667562043
震度,89.14360759445276
系列,88.8302609032859
大型,88.7384203970812
重要,88.65428883116348
暗示,88.29466767234253
之外,88.20140637444692
目前,88.03268315091466
澳門,87.64869588816333
二次,87.61637754365094
另外,87.30807474650746
料理,87.05020568228174
歷史,86.99021349795169
會談,86.8926702211315
峰會,86.5250196879183
正在,85.9624891248174
持續,85.00207162385759
進行,84.89490768344211
行事,84.7847445664084
食安,84.47122927458346
宣布,84.1804319660564
高峰,83.68032017960925
登場,83.6705529168014
新股,83.25510443785721
核能,83.24150196356898
延伸,82.90855417344757
訪問,82.87181685191575
左右,82.60100118840634
可能性,82.5105487168583
據點,82.50167975954031
趨勢,82.48268655279333
平價,81.95312883380964
魅力,81.95221551406337
瑞士,81.93837843129221
考慮,81.18667237455072
匯率,80.80091440011078
半島,80.65670141971871
出國,80.36487128525613
單程,80.29365244293693
指出,79.85840593045222
做出,79.8307237456699
磋商,79.59520149130415
海巡,79.56480841646645
公聽會,79.50546705531117
旅展,78.85543536599882
公司,78.68759145313597
財政,78.64810407358158
精靈,78.62728266508888
亞太,78.52105490930649
最新,78.35098218690473
召開,78.10298918589694
台廠,77.90695346527167
相當,77.64647809073206
菲律賓,77.45159157937337
人士,76.99960601178478
核試,76.92585185692005
預測,76.53136516536438
像是,76.38604351047587
消息,76.21663173045064
聯合國,75.99671420013037
大橋,75.78146526032623
最受,75.7196444900565
將在,75.32433449132537
北緯度,74.95851695415512
唯一,74.87112466241601
玩家,74.35113308584552
計劃,74.1420025805831
維持,73.88918623716101
大戰,73.25520432022412
積極,73.13823368623844
達成,73.11759486279252
採取,73.03281418582152
戰爭,72.91124252290349
派遣,72.53557003852971
熱潮,72.35279411990335
全球股市,72.22816763431146
百年,71.76679414441976
前景,71.76238796263962
這次,71.69885429185386
主權,71.56012745166478
口感,71.52857338333342
漁業署,71.07503864218413
排名,70.82324818343865
大利,70.81795473022736
搶攻,70.77747195073091
人氣,70.49030660423911
第名,70.4231960094498
之間,70.38440532505572
一度,70.14401973716055
關稅,70.13324368020082
三重,70.01575990462698
發光,69.7719719279016
武力,69.6679490486203
中文,69.65310215747394
開始,69.63467195616671
排名第,69.49168490288217
還有,69.28050006379762
再度,69.23428945193469
動向,68.55063863913843
專利,68.3109105925751
媒體,68.19579706721599
同時,68.06677829455624
