token,lift
日本央行,11.313375
日本首相,11.313374999999999
日本政府,11.28851043956044
日本,11.27752780418251
晉三,11.27353917253521
安倍,11.189956363636364
福島,10.90568581081081
九州,10.846844072164949
自衛隊,10.67471673387097
熊本,10.62771590909091
共同社,10.583479838709678
自民黨,10.505276785714287
輸台,10.260968023255813
日方,10.188852786144578
核災,9.851838516746412
京都,9.631657094594594
知事,9.521157178217823
台日,9.50979347826087
鳥礁,9.508787576687117
慰安,9.133733944954129
億日,9.07952388535032
北海道,9.037311390532544
億日圓,8.96295083102493
三菱,8.37671170212766
公海,8.25793795620438
正吳,7.839970394736842
東京,7.662445219123506
夏普,7.643780288461538
鴻夏戀,7.4991514285714285
日經,7.328973007712083
廢鋼,7.123236111111111
利率政策,7.006252538071066
社長,6.793075613839287
美日,6.6466078125
大阪,6.644363095238095
日圓,6.534978827361564
大臣,6.249598087818697
三井,6.204108870967743
豐田,6.163256529850746
豐興,6.148573369565217
中日,6.138107712765957
日股,5.995121794871794
輻射,5.941898634453781
謝長,5.720245786516855
革新,5.546389972144846
解禁,5.533716032608695
出資,5.44889081632653
野村,5.383606034482759
彈道,5.2795749999999995
日式,5.2324359375
郭台銘,5.168863073394496
任天堂,5.061246710526316
鴻海,4.980731132075471
核電廠,4.969426401869159
日系,4.690911585365854
核武,4.673865347490347
韓國,4.6148803057553955
試射,4.593400375939849
防衛,4.586503378378378
等國,4.4304125874125875
鋼筋,4.309857142857143
公債,4.3076030334728035
櫻花,4.265698770491803
強震,4.245250967117989
索尼,4.235263461538461
日商,4.188124399038461
保安,4.089171686746988
台灣虎航,4.085385416666666
交涉,4.06720506198347
公債殖,4.03038984375
亞太地區,4.028247159090909
液晶,3.992955882352941
釣魚,3.9875010245901636
官邸,3.8465474999999993
威航,3.8231405172413795
東海,3.8220861486486486
捕魚,3.8116747311827957
郵輪,3.771125
單程,3.73995867768595
紐西蘭,3.629546928327645
旅展,3.5997102272727277
大橋,3.5680644230769234
鮮半島,3.5227275449101794
南韓,3.521673151750973
海警,3.4968613636363637
漁民,3.495860401459854
避難,3.481038461538462
諸島,3.4470439453125
北韓,3.4438578104138853
手遊,3.440665592783505
島嶼,3.4349042168674697
