token,tf_chi_square
日本,192591.56597307787
夏普,19451.175200734935
安倍,14541.526069884765
熊本,10572.742014254329
東京,9022.421135081993
日圓,7245.0752944348
日本政府,6946.097089023335
日方,5159.749512209225
日本央行,4700.88297659297
食品,4183.1913722854615
福島,4162.948790571539
日本首相,3760.706381274376
億日圓,3725.6769436587297
台灣,3722.555850388221
鴻海,3584.589734222937
億日,3556.772617644972
郭台銘,3531.866466849667
核災,3464.9999653394375
九州,3463.3220871271324
台日,3243.501871764543
大阪,3200.6077463953075
慰安,3183.5338633630868
社長,2921.812230706421
京都,2884.9936706866397
晉三,2884.555542398534
市場,2698.479323007497
三菱,2481.0146417276665
北海道,2401.1226193116067
全球,2339.5212358085832
鳥礁,2337.761348223776
韓國,2274.4233930095616
自衛隊,2196.628104831933
利率,2102.5152007316274
共同社,2041.8614015601675
輸台,2003.5157569818543
自民黨,1946.5678966613941
亞洲,1941.1857685744008
日經,1888.2189803812516
中日,1833.9934750243767
地震,1762.6050300028794
美元,1748.7409550763587
廢鋼,1731.2657337544986
釣魚,1710.1479589141768
海域,1688.2622570820556
謝長,1656.9217710053806
進口,1626.506390186423
知事,1625.7980268844915
大臣,1579.1125276781243
美國,1567.1471740634463
日股,1565.5561896117067
公海,1545.7853979223717
北韓,1497.358113718355
經濟,1485.4466079641224
合作,1471.3445092075253
飛彈,1459.9656030344825
輻射,1310.0380787504869
美日,1276.6792189853807
面板,1227.9995740818679
貨幣,1146.359207711451
核電廠,1121.1940330817306
出口,1083.3211632669074
三井,1071.6530594326748
利率政策,1060.055596462199
升值,1026.0954475177282
革新,1018.5103260750221
強震,1010.0166104712705
每公噸,981.368168031202
豐興,957.9718702374902
正吳,954.9209010388261
公聽會,928.7663233812272
技術,874.2401980160568
簽約,871.9038275920751
旅遊,868.3059684977659
鴻夏戀,864.1315792167878
機器,841.5666951201606
海外,839.1936962211086
南韓,834.4744105421253
鋼筋,800.5687209132308
豐田,796.8127555934952
中國大陸,777.7159866767549
國際,776.495503467042
規模,727.495533152545
核武,714.7303537934941
最大,709.887844813832
成長,699.739368348298
央行,687.4010028488982
報導,673.9206543083159
品牌,656.5390148020413
任天堂,651.2863338695424
櫻花,646.4089073964288
遊戲,640.0283393713308
新加坡,637.5886026691253
每噸,616.6340868689109
各國,598.4770766156656
刺激,590.5867159770976
南海,584.4371956410498
出資,578.3833397286306
推出,577.0075587226667
太平洋,570.923322004078
升息,561.0698425013143
中國,545.8955040395775
發射,544.4982333883474
旅客,535.4578077774721
漁船,532.8380727274983
東海,525.836975389456
可能,521.0750685031204
今年,512.6615755187123
解禁,511.5655411950954
液晶,507.2813000025564
商品,503.22787911878726
入主,502.77489464674454
海上,500.96179404094767
漁民,498.7604681164393
海警,488.7508145696345
專利,486.6444200265777
彈道,479.84134884640594
人次,477.6196949297457
日式,476.0662045847635
雙方,470.6515069364453
我國,469.42492161109084
郵輪,468.6903309557824
投資,467.1353291091849
布局,465.36433558336637
協定,462.83005461992417
海洋,461.9558735419797
試射,454.2674738493236
溫泉,450.24401855753183
集團,448.9447664078818
觀測,446.5480442965619
國家,445.05784767201357
外銷,442.01868998392587
澳洲,440.7178632219114
股市,435.4644071158905
震度,426.40466697959164
觀光,424.7956599489717
貿易,416.74823280022457
捕魚,414.55821467464136
鐵道,413.4722040527796
生產,408.4836411495911
吸引,406.13721791391254
外交部,405.4906602296648
企業,402.6342639982798
野村,398.77821196473786
顯示器,397.32413277807694
觀光客,395.6672604588892
對話,385.97203058218867
負債,385.9478813718032
海嘯,384.31392674334666
收購,383.21840754877496
指數,382.61950613685366
汽車,382.1881150112919
歐洲,381.94490513088806
引進,376.8649879389409
產品,372.79946996724146
防衛,362.52011907610535
聯準,362.4903107722415
協會,362.4173974059349
新聞,362.1939900303772
貶值,359.8875016727241
交涉,358.61595931637623
公債,358.1954508499289
日商,357.0225597854309
領土,355.9858049655184
精靈,354.6850650341272
旅展,353.9802063815828
東南亞,352.9631354343952
大廠,352.9200142895088
新興,346.1706485497647
琉球,344.2441287548692
開發,344.2241319132137
總裁,343.66680108019403
研發,340.93600547252043
資金,340.21164783716864
主要,339.37181067775424
經營,339.2359975399987
交流,334.93022827360414
第名,334.5955867354311
友好,333.5327740397998
航空,332.3871473118128
索尼,328.10674731360564
經濟體,319.4428703173324
重整,319.13857109158556
日系,318.57397642392306
首相,317.0163372594774
島嶼,314.1819206622967
夥伴,311.49362219351275
會議,309.9745009126067
李登輝,308.7023940412521
等國,308.46363430520086
產業,307.8388148258691
設計,303.56535988152507
參展,301.85556159042176
越南,299.8698259823825
核能,293.5396709096944
亞股,293.24625924214394
作品,293.20629658978845
台灣虎航,291.34913538972796
世界,290.9895081739147
避難,290.66475448180864
百貨,289.3945606284013
專屬,285.79609941934746
國內,283.73894726666117
美食,278.8394329052093
芒果,273.20792926520534
亞太區,272.5414047532608
亞太地區,271.88741235197415
公債殖,271.4395620429447
展出,270.7817164945098
商機,269.8849867761281
旅行,268.00818336582194
威航,267.6942168803712
海巡,267.5512611872889
政策,261.56698378866406
太陽能,261.4032407487465
指出,259.1241314932157
限定,257.60903806046326
擴大,256.5324987690435
上周,253.3521674786999
消費者,251.07608985659448
開幕,249.40741701302534
芮氏,247.07942352223887
公司,245.37337238892545
保安,243.84770966974622
事業,241.92096803406793
以及,239.73945344751303
廉價,239.73639487177067
以來,238.4220510492727
國籍,238.40100206050184
包括,236.99010289929578
高峰,236.9731529602307
參議院,234.40199618788193
去年,232.23665323719928
知名,231.93158606109915
核試,230.9609547266668
投資人,224.7390535065322
本周,224.49090936309582
核子,224.29950411818442
工具,223.49415386925926
廠商,222.27754449646548
航線,221.831595178153
泰國,220.3448103227223
預期,218.25507129701032
外長,217.93351386985807
食品安全,217.79522531068406
優勢,216.9098478795393
出國,216.2519673901277
來台,214.48125140583392
競爭,209.91714852615667
全家,209.90990590461266
外交,209.60758936144276
加上,206.983387505017
機票,205.60771268766266
航行,204.79296238604718
單程,203.2507876121883
擁有,202.9576263418692
銷售,201.74647793602998
新股,201.0661270696345
戰爭,198.1525234224815
談判,197.9334494499755
決策,196.61997617948933
成為,195.29730157663437
國人,194.58819663561812
降息,192.25991585587016
風力將,191.69311357420656
旗下,189.99118861200944
我們,189.27676431164915
強烈,188.34405492039699
本部,186.950187544802
和平,186.84529721190665
進行,184.71147933954495
主張,184.585254136189
近年,184.4169697040836
準會,183.81066998443882
玩家,183.21023966632632
電機,181.95183990620197
目前,181.39734654069855
開放,181.08777058367792
彭博,180.76150901865762
關稅,180.32339597340325
訪問,179.39418342164214
區域,178.15076474676434
認為,178.1396482564417
策略,178.0784203069659
歷史,176.95712971500404
排名,176.6530602239155
對策,176.0465190117745
東亞,175.85149368340217
工廠,175.83429856431098
重建,175.468828963076
口味,175.00633043662464
量化,171.17477210083345
除了,170.65051911200197
一步,170.13099315580732
故鄉,168.7783939063051
權重,168.69412946887365
外國,168.56854070597726
美國聯,168.2680931474844
以外,167.83789222290756
系列,166.5657140169579
農產品,166.52490001041022
軍演,166.45751666456175
諸島,166.45751666456175
環球,165.8826885782152
精品,164.68747125215634
有機,163.65654858604535
方面,163.35583150516797
阿里巴巴,162.21975765387208
入股,161.68997826598337
首次,161.63943407355575
此外,161.5961150147323
援助,160.60770638707868
分析,160.088859603232
本月,158.9091406983014
我方,158.2531806153841
流入,157.9080245891088
首度,157.71270316286797
漁業,156.93396864819078
美豬,156.54602980081472
航點,156.20215330081365
供應,154.91308131402525
北緯度,154.5554907834083
峰會,153.95997482034647
拓展,153.48442098460282
艦艇,152.12664522990883
扣押,152.01194552827653
零組件,151.52075289022588
政府,149.9098118045959
排名第,149.5743359994234
簽署,149.51704349597347
正式,148.7539223822438
會談,147.7288106343848
消息人士,147.5916479019558
測試,147.5810552028943
協議,147.5807992459631
競爭力,147.4946207117572
藝術,147.45212064303834
文化,147.3508563419696
獨家,147.19290327208853
看好,147.1060377973364
電池,146.42785805095141
香港,146.10518193332325
歐美,145.64380228441834
兩國,145.43671359674283
料理,145.1239321611521
東經度,144.51099686019694
食安,144.00554852223885
鮮半島,143.6002989590944
維持,142.20496357532713
協會會長,141.42900041535623
磋商,141.00973917936867
自有,140.87302685898356
三越,140.44497546945777
三重,140.35648106851423
軍艦,139.32853414675293
材料,138.17319586668793
密切,138.1504447109863
造訪,137.30796273033616
熱錢,136.88878368461243
戰略,136.696066593606
王毅,136.60759517071492
方案,134.99540033314838
避險,134.60985305065216
接單,134.15843119771083
匯率,133.75350335203277
財政,132.3010056692544
這次,132.01655197808844
災區,131.65615671176533
預計,131.1967418233793
重要,131.00631382897504
體驗,130.8517694882392
召開,130.61101687588982
寶可夢,130.39263717071887
大型,130.2166365053531
俄羅斯,130.08153389482237
附近,129.43832454779766
藝術家,129.4204372521097
客人,129.08794145953462
可望,128.09063301965506
台灣人,126.52691495797632
一度,126.339257337585
月底,126.24305247727483
宣布,126.21140369862279
艦隊,125.02448354684283
手遊,124.27140025764933
暗示,123.99434078009386
百年,123.7527447267446
農業,123.69137782438006
咖啡,123.04040955302325
影響,123.02132672009408
持續,122.77211185614529
內閣,121.98447644693347
還有,121.14127139095557
透露,120.60073459919573
和服,120.51587247306864
主權,120.2820065526564
表示,120.18586332182652
考慮,120.05957991541591
匯價,119.69541532313312
登場,119.32786288518797
半島,119.24615850009859
緬甸,119.06409717829244
電視,118.78486347287071
最受,118.78206777414351
蛋糕,118.76282810280757
地區,118.38955674677682
便宜,117.84627086152864
發展,117.78118364465267
目標,117.00319555646692
水域,115.7225795257482
災民,115.64343770071164
