token,MI
銀行業,-3.9030899869919438
銀行業者,-3.9030899869919438
銀行局,-3.9030899869919438
豐銀行,-3.9030899869919438
銀行,-3.903462676006408
國銀,-3.9196892488114052
聯貸,-3.932600584500482
房養,-3.933579309139844
授信,-3.9389695580740125
渣打,-3.942242110954092
一銀,-3.9481169568052628
豐銀,-3.951665086551514
分行,-3.9540657154283743
放款,-3.9568353200176043
星展,-3.968685937331598
徐光曦,-3.9898243709300143
行庫,-4.005079525529275
花旗,-4.018839823015538
定存,-4.027003234382553
洗錢,-4.036802647907749
行長,-4.0386033725391135
存款,-4.03964220120068
合庫,-4.043465693781091
淮南,-4.048147012307656
豐案,-4.0529745577080405
蔡友,-4.054951366423124
開戶,-4.055700150198102
信貸,-4.056239579508421
中國信,-4.061989231379194
豐金,-4.062313320760329
借貸,-4.0643418832291935
信用卡,-4.064790654491674
公股,-4.066406958011196
李瑞倉,-4.070829171682859
刷卡,-4.07237753799268
轉帳,-4.076333403174798
華南,-4.080356603955559
外幣,-4.082434403445347
債權,-4.085568044709025
匯款,-4.0871501757189
借款,-4.087725019590918
房貸,-4.087919860425284
永豐,-4.08969736473278
貸款,-4.0912715948540495
餘額,-4.094580160921439
台新,-4.096486104256095
提款,-4.101376304588129
重罰,-4.117826283161453
金控,-4.131132838604339
台新金,-4.142667503568732
財金,-4.150324150271846
管會,-4.150973320021871
存底,-4.151129562916732
新金,-4.156478348220698
融資,-4.15925518404759
紐約州,-4.167603148830162
金管會,-4.169339906210224
帳戶,-4.175450549106324
央行,-4.178380717455128
吳當傑,-4.179851407928988
理財,-4.180342136209339
本國,-4.182165406767875
利差,-4.191345694619496
儲蓄,-4.1914574389869985
幣匯率,-4.191490173929496
手續費,-4.197193289064359
儲備,-4.204119982655925
降息,-4.2073298604011065
利息,-4.212173356131064
監理,-4.213510499461994
財富,-4.215725664557567
流動性,-4.220072491590553
信用,-4.221848749616356
人行,-4.233041731956553
低利率,-4.237687330302193
富邦金,-4.239447944997668
防制,-4.2403321553103694
金融,-4.244184109301542
中信,-4.252576211410893
玉山,-4.2554587776697055
利率政策,-4.258036960534918
幣貶值,-4.26240059330785
存放,-4.265256726009907
債務,-4.265283804258
三菱,-4.2655576775017625
開業,-4.266267889404769
歐元區,-4.267261319838484
公債殖,-4.268360878910613
貨幣,-4.270398241106762
巴克,-4.279184662508717
信評,-4.28075403968967
丁克,-4.280826609575694
公債,-4.281487887940082
債券,-4.284547411716148
基點,-4.291507932529083
額度,-4.297152340600779
大通,-4.298610521540568
外商,-4.302286999383484
國泰金,-4.305674900709745
票券,-4.314532466067628
籌資,-4.315670521846871
申辦,-4.317297608378435
付款,-4.318281628248033
兌換,-4.323454841746226
裁罰,-4.325298570390918
蔡明忠,-4.327627764157776
保管,-4.328259649154892
參股,-4.336237303891348
督導,-4.338319080383429
曾銘宗,-4.343114783728686
分期,-4.343781976084931
離岸,-4.344229984645163
保險業,-4.348151661173247
利率,-4.348203655142358
集保,-4.348953547981164
債市,-4.35124754577629
財長,-4.357703900713755
清算,-4.358569316772763
支票,-4.362018236885587
聯名,-4.365182251346487
卡片,-4.365733418342983
控管,-4.367674035556364
跨境,-4.369745808033441
幣兌,-4.370206109594181
遵循,-4.371611069949688
支付,-4.372023785345033
缺失,-4.374439801533731
違約,-4.381479255698242
日盛,-4.383727815434443
王儷玲,-4.385091006329692
富邦,-4.3861040659322414
高盛,-4.387050666241912
外匯,-4.390241583202534
毛額,-4.391529002236139
壽險,-4.3926690432000886
提撥,-4.392948063114539
財委會,-4.393176218875974
專戶,-4.396601657899775
往來,-4.398363504056062
負債,-4.398793519228904
區塊,-4.398853351767664
開辦,-4.400414627799893
到期,-4.401719992419268
壽險業,-4.402113083159436
財政部,-4.402136123265645
業務,-4.402462546473192
增資,-4.402999129940842
避險,-4.4040550052080105
發行,-4.404257751626025
高風險,-4.40513661718254
鴻夏戀,-4.405765346183994
業的,-4.407941583656757
契約,-4.408358479293184
滿元,-4.412395925083008
億日,-4.413247900798914
年期,-4.413894354914179
億日圓,-4.415274210110944
評等,-4.417827429317574
槓桿,-4.419129307741976
監管,-4.420162113179743
升幅,-4.420956209401665
行事,-4.422883145709004
徵才,-4.4248392271313115
匯出,-4.430124692043439
新鮮人,-4.431721061161372
聯準,-4.431850914498235
日圓,-4.432780713154594
繳費,-4.4331473168994044
英鎊,-4.433655560938572
手續,-4.437249742681971
匯市,-4.4389441792834905
蘇格蘭,-4.4389892422647925
新股,-4.4391891016709435
貶值,-4.440866837574945
出資,-4.440997722637401
張盛,-4.44216608578472
淨值,-4.444262724072805
匯入,-4.447158031342219
單筆,-4.450301310312561
資產,-4.450578588393638
標普,-4.450901972476093
野村,-4.451674132507183
財經,-4.454880296708942
保單,-4.456253536176749
資安,-4.456366033129043
資金,-4.457541200592066
日本央行,-4.460440243350424
外流,-4.461133149335532
學家,-4.461472588467403
量化,-4.461609088541415
總裁,-4.465371344062932
盧比,-4.4673614174305065
財政部長,-4.468865729575029
投資者,-4.469874217971363
疏失,-4.471130891030475
點數,-4.4716088300813555
竿頭,-4.472268751925251
升值,-4.472330516055612
低利,-4.473892284589464
中華郵政,-4.474216264076255
首家,-4.477121254719663
三井,-4.477997732276291
不動產,-4.479184415283436
動盪,-4.479914154903833
機構,-4.480443137285801
重整,-4.480676208936705
匯價,-4.480725378988487
求償,-4.481347063647282
金價,-4.482287095360402
據點,-4.483634836182111
放緩,-4.486205782681441
瑞士,-4.48719814488553
證券,-4.487983864955352
物價,-4.488759562131737
保險,-4.489227012222737
百尺,-4.489355711136674
匯率,-4.489995791550112
經濟體,-4.490791828273038
民事,-4.493109360103793
租賃,-4.493770432576407
億股,-4.493927274211157
彭博,-4.494228334485876
歐元,-4.495774368254802
新光,-4.495941976533082
干預,-4.496549806557988
第三方,-4.496988499551305
逾期,-4.498310553789601
繳納,-4.500109753680382
密碼,-4.500505073274143
境外,-4.501231505284061
券商,-4.5013235704668535
交易,-4.501339901522398
價證券,-4.502557167741626
黑天,-4.502928518325948
緊縮,-4.503395250753355
上限,-4.503839888391588
資本,-4.504760651102526
標售,-4.505149978319906
財政,-4.505721042809688
風險,-4.505945632555101
支應,-4.506743721326464
主管,-4.507025506750433
回饋,-4.507213138883679
收益,-4.507717243816866
波動,-4.508541449209701
準會,-4.510320211785996
欠佳,-4.510927817178866
房地產,-4.51441033943911
收購案,-4.515615411998071
美國聯,-4.517225672358289
休市,-4.517433873462215
職缺,-4.517433873462215
本市,-4.517611603210246
許虞哲,-4.518114955484274
升息,-4.5187348023457465
熱錢,-4.5231459212234935
調降,-4.524276116826071
葉倫,-4.524300332415132
監督,-4.525151056451908
海外,-4.525662542571333
裁撤,-4.525671645464508
流通,-4.525912661950919
募集,-4.525933584243198
保費,-4.528510754323278
一卡通,-4.528631074169429
日經,-4.529251760972096
皇家,-4.5300832185237185
創投,-4.5302606989029375
暴跌,-4.531478917042255
浪潮,-4.531860044299627
收取,-4.532499586094662
財務,-4.534709644770151
歐股,-4.535715969985509
從業,-4.536184212059875
查核,-4.536454307699456
數位,-4.537567257152675
不動,-4.537679203146826
流動,-4.537715900470935
一筆,-4.5382172746939995
收支,-4.538488166969439
撤出,-4.539912084579118
可疑,-4.539912084579118
人壽,-4.539912084579118
柬埔寨,-4.540425738668449
實體,-4.542366722823995
悠遊卡,-4.542938539209306
稅前,-4.543281990774776
計價,-4.543307680312621
報酬,-4.543382376224842
即期,-4.543857681313029
權息,-4.544797338361962
應賣,-4.545021490357598
部位,-4.547090669206241
現金,-4.547920199893468
監察人,-4.549353640811959
出手,-4.549699416691613
