token,df_chi_square
銀行,54699.808513058575
金融,9677.410914716624
分行,6682.898543861449
央行,4889.8669295497475
金管會,4321.548801001713
貸款,3359.504671421047
銀行業,3337.626913381009
豐銀行,3177.796892176848
存款,2884.749163188496
放款,2704.234165224921
信用卡,2666.0783085100525
金控,2628.843663407047
管會,2606.852391397408
貨幣,2275.056360632109
利率,2174.4525381290473
銀行局,2058.986743747721
銀行業者,1870.9514246840024
授信,1779.0670960428122
中國信,1744.4800639753669
帳戶,1712.7361312292624
公股,1627.3332975091064
機構,1452.7479395853409
行庫,1439.6785635963913
豐銀,1388.3424159457936
國銀,1383.0675618847508
花旗,1376.7174530659727
降息,1278.2835623310748
交易,1274.7623545985234
資金,1269.6249429173743
豐金,1253.3825825777164
支付,1238.7343697880904
中信,1227.9378622368165
融資,1196.5680317785555
投資,1165.5514498386685
主管,1150.1672110789955
刷卡,1117.8296861316774
聯貸,1109.0901153309994
信用,1084.3703457412134
業務,1074.3099113123592
債權,1002.0050700780575
重罰,993.871548389895
一銀,987.3699041159988
風險,963.0959818528511
洗錢,946.0317925121882
提款,944.471215496495
行長,909.03904852632
豐案,908.1587140005507
房貸,906.4751093293526
信貸,905.4947234669289
渣打,894.0902600523278
管理,889.5151735936618
財富,885.3828251133667
美元,874.1891197140227
餘額,850.4500990322879
債券,844.8126983610364
外匯,837.3369499292495
玉山,835.2686467622924
借款,835.1120910301083
資產,823.2159990919387
匯款,797.7830278827252
蔡友,786.9508087772895
海外,784.2975883117857
財政部,768.1217206801851
借貸,765.2984845826695
永豐,747.6803312254311
外幣,747.3998670381353
發行,746.6993918274438
總裁,735.3060182087713
淮南,722.0278158976041
星展,720.3775142338865
定存,702.0027095056006
徐光曦,700.4534313885347
利息,698.0428596599068
華南,695.5417878258856
開戶,693.903417749456
監理,680.0892736439486
台新,662.4296587148258
客戶,649.2143728539933
經濟,635.1413853170562
幣匯率,627.2654058856464
手續費,619.6152890131749
企業,616.6257309677222
證券,587.2650963287564
本國,584.7651629157598
轉帳,583.8061715947894
人行,581.361495707549
匯率,574.1380303794923
投資人,569.1964463330739
