token,lift
銀行業,11.313375
銀行局,11.313375
豐銀行,11.313375
銀行業者,11.313374999999999
銀行,11.303670612454965
國銀,10.8891234375
聯貸,10.570160583941608
房養,10.54636652542373
授信,10.416279185022026
渣打,10.338084051724138
一銀,10.199178977272727
豐銀,10.11619246031746
分行,10.06042793159609
放款,9.996474206349207
星展,9.72738785046729
徐光曦,9.26526400862069
行庫,8.945459302325581
花旗,8.666472169811321
定存,8.505090425531915
洗錢,8.315330625
行長,8.280923969072164
存款,8.261139741518578
合庫,8.188728571428571
淮南,8.100935185185186
豐案,8.011385167464114
蔡友,7.975002049180327
開戶,7.961263888888889
信貸,7.951381485849056
中國信,7.846806413301662
豐金,7.84095297029703
借貸,7.8044137700534755
信用卡,7.79635336906585
公股,7.767391791044777
李瑞倉,7.688701456310681
刷卡,7.661338157894737
轉帳,7.591870065789473
華南,7.52186554054054
外幣,7.485964552238807
債權,7.432144160583942
匯款,7.405118181818181
借款,7.3953230519480515
房貸,7.392005976095618
永豐,7.361813397129187
貸款,7.335176610348468
餘額,7.27950768442623
台新,7.247630859375
提款,7.1664795373665475
重罰,6.900107972136223
金控,6.691898284313726
台新金,6.516503999999999
財金,6.402624313186814
管會,6.393061020710058
存底,6.390761450381679
新金,6.312535326086956
融資,6.272302361396305
紐約州,6.152888157894737
金管會,6.1283316971490045
帳戶,6.0427081692913385
央行,6.002075474898236
吳當傑,5.981784482758621
理財,5.975029220779221
本國,5.949997222222222
利差,5.825543843283582
儲蓄,5.824045118343195
幣匯率,5.823606147540984
手續費,5.747631028938907
儲備,5.6566875
降息,5.6150329528718705
利息,5.552758858267717
監理,5.535688836898395
財富,5.507525354969574
流動性,5.45267581967213
信用,5.43042
人行,5.292251050420168
低利率,5.235942148760331
富邦金,5.2147587890625
防制,5.2041525
金融,5.158198614181933
中信,5.059480871886121
玉山,5.026010506003431
利率政策,4.996262055837563
幣貶值,4.946312790697675
存放,4.913890151515151
債務,4.913583780160858
三菱,4.910486170212765
開業,4.9024625
歐元區,4.891261138613862
公債殖,4.878892968750001
貨幣,4.856058708838821
巴克,4.758800595238095
信評,4.741635110294117
丁克,4.740842857142858
公債,4.733629707112971
債券,4.70039935530086
基點,4.6256656403940895
額度,4.565936098654708
大通,4.550631284916201
外商,4.512270953757225
國泰金,4.4772079787234045
票券,4.386818877551021
籌資,4.375338397790056
申辦,4.358976838235295
付款,4.349111494974874
兌換,4.29761323051948
裁罰,4.279407065217391
蔡明忠,4.2565173267326735
保管,4.250328729281769
參股,4.17296618852459
督導,4.153011075949368
曾銘宗,4.107403662420382
分期,4.1010984375
離岸,4.0968700166112955
保險業,4.06004183467742
利率,4.059555793378996
集保,4.05255223880597
債市,4.031202586206897
財長,3.971716755319149
清算,3.9638102189781024
支票,3.9324565508021387
聯名,3.9039110915492956
卡片,3.898959745762712
控管,3.881576359832636
跨境,3.8631036585365854
幣兌,3.8590113877118646
遵循,3.8465475000000002
支付,3.8428938148788925
缺失,3.8215748327759202
違約,3.760130466472303
日盛,3.7407127016129036
王儷玲,3.7289895251396645
富邦,3.7203012129380055
高盛,3.7122011718750003
外匯,3.6850262557077627
毛額,3.674118569131833
壽險,3.6644865038560415
提撥,3.6621329479768785
財委會,3.6602095588235293
專戶,3.631453703703704
往來,3.6167514619883043
負債,3.613172120418848
區塊,3.612674369747899
開辦,3.599710227272727
到期,3.588906775210084
壽險業,3.585659836065574
財政部,3.585469615384615
