token,tf_chi_square
銀行,144778.0979425457
金融,38003.24894104389
分行,23376.571866233506
央行,15684.525141065915
金管會,13481.171251696758
利率,10011.571951103222
支付,9204.16004469889
貸款,8994.564190039844
信用卡,8833.28404857691
中信,7447.271444167747
放款,6608.672476397734
存款,6498.670227184229
金控,6161.488689533786
貨幣,5893.952048991096
豐銀行,5509.434848566961
玉山,5481.947727062799
銀行業,5208.578338065012
人民,5141.56903985293
中國信,4677.699767352423
花旗,4483.80304102592
帳戶,4288.3158787106695
美元,4126.365646707835
管會,4105.488232986766
授信,3996.9874790731023
公股,3993.6624992457237
降息,3770.4683982575266
機構,3457.725932226572
刷卡,3446.6623943986447
客戶,3444.247759820735
經濟,3344.4278047349417
渣打,3256.3852462777636
行庫,3201.1234884937076
提款,3173.44527045113
投資,2961.641489562934
房貸,2953.914004052016
蔡友,2940.8285291463853
豐金,2882.1570619115646
董事,2798.877478614735
淮南,2784.007052464399
定存,2773.0899602460026
交易,2762.6634465299417
銀行局,2754.7174242834803
債權,2647.1502492923228
豐銀,2561.4492505202775
星展,2546.0083276403216
銀行業者,2500.86974354746
國銀,2433.7198159722184
財政部,2335.793871476167
一銀,2328.72630786939
信用,2324.0243309139482
聯貸,2299.896610788816
資金,2293.6011624209455
海外,2280.5982392680694
主管,2235.7997985296815
發行,2233.3353062461947
風險,2227.9407506806997
餘額,2212.0270695192435
回饋,2192.8114627350005
洗錢,2190.0873131567846
房養,2165.6948574531007
融資,2132.4419956635943
開戶,2076.094749084179
外幣,2034.1626762804956
匯款,1979.8716902483225
夏普,1959.1489066398442
企業,1953.6612482174737
外匯,1951.8518720946097
債券,1918.801720344469
徐光曦,1852.9612255452084
李瑞倉,1800.4632181029817
信貸,1739.6193167436907
數位,1695.1892653988182
業務,1682.295463258618
富邦,1661.5192414284543
財富,1625.7329139627295
升息,1622.0189225013146
行長,1618.547597292588
聯名,1569.6764219742909
匯率,1566.8721976357363
借貸,1566.1049693038083
永豐,1562.8960596311224
管理,1525.3240643604952
人行,1505.7268381540387
重罰,1480.3746678133589
手續費,1444.9402693005104
幣匯率,1433.7472847598012
市場,1418.7487346372707
華南,1406.4146869548074
資產,1340.8373558340638
豐案,1319.9305001179314
借款,1278.801499574851
台新,1275.2523071216729
防制,1272.6579272887336
台新金,1264.840390922783
投資人,1215.675336996639
監理,1213.2478810622763
丁克,1198.690569467
總裁,1171.8494186674034
日圓,1168.7193924886928
基金,1138.6492190388997
股市,1131.5202224934926
存底,1093.9405413238926
利差,1072.0352224639794
合庫,1066.0776802987248
利息,1037.2085182465205
貶值,1034.305840404476
證券,1031.5236792442317
金額,1001.8802786924679
升值,997.9354150501957
富邦金,972.0768894667489
消費,971.5335875593386
幣兌,952.6506649561735
兌換,948.976577171997
債務,936.5801065438449
曾銘宗,919.7891635599608
新金,914.3681128507502
儲備,889.9542810088257
理財,885.5634096785706
財金,874.202284526624
轉帳,872.2383308019205
跨境,828.7732288400346
總經理,822.4490451773922
服務,821.335055438371
現金,808.8947369070997
億元,808.4299846225659
資本,786.8927349580237
國泰金,784.5266918643732
年期,765.3321045581763
公債,757.5416752019806
商品,746.9408010149881
流動性,742.8405101956737
指數,737.6972937832973
徵才,737.2185022313386
本國,732.1473912966095
新光,714.4412279096787
聯準,714.4394913376125
開業,708.9773713553786
紐約州,702.9171445860832
區塊,692.2781393026248
保險,673.1170078084068
額度,672.1647732210743
存放,671.9252859557824
歐元區,663.1291991296848
月底,634.2272434382808
獲利,634.1166957215013
遵循,625.865757939611
缺失,620.6947669849252
境外,607.1635352926179
契約,604.4653991884705
券商,601.7294473512958
億日,595.2443362379366
付款,594.4796569327548
昨日,573.2834265888795
英鎊,567.8304851073688
離岸,560.8737555622819
億日圓,559.8991186587305
控管,557.6005875365648
負債,549.7295377235947
低利率,547.4196872057823
督導,541.3329886506503
保單,533.9474799582254
財務,528.6083335848506
吳當傑,528.2705077970232
提供,528.0005345863802
英國,517.8065210156802
紐約,514.464872382889
財經,514.3323325965645
商業,511.85122302730133
避險,507.4389669747026
利率政策,503.2886818395576
清算,499.20310710936525
日盛,499.1759467769849
公司,497.99806817339106
政策,497.8560719402055
申辦,497.37411003027665
儲蓄,492.9142980553273
到期,487.0753803799538
外商,486.1725650919955
財政,481.19283129203023
違約,478.85806116885857
波動,470.8988628705081
支票,470.2607895551627
開辦,463.2693126099571
亞洲,460.34355149914444
微信,459.12762568601426
行動,453.9242266976454
往來,449.01094875122214
公益,447.62311074768576
第三方,446.8288026373955
子公司,443.0080342823597
房市,442.9927127912601
幣貶值,442.92638177715884
上班族,435.865796180545
國內,433.84303087790465
保管,431.5564875364906
信評,429.7342139825297
收益,425.82753768115845
評等,422.9344169765874
基點,419.5981059557824
重整,419.08799027037975
中小,417.3220163934073
刺激,408.24709459911935
脫歐,396.35512354617305
簽約,392.746384671157
優惠,389.55813088492175
歐洲,386.75773276110414
成長,386.1609471009879
百尺,385.19470255827906
歐元,380.39415735294523
增資,379.4533111954855
據點,360.653600458948
債市,360.2823121583334
壽險,358.06391850568986
竿頭,356.58638123610194
科技,352.1849032813495
學家,350.7428930362506
人力,345.3696182458319
上限,342.08675590479623
巴克,340.1725914605119
不動產,337.6947095181837
公債殖,337.361824249976
主委,335.88123312908465
幣元,334.568540814956
董座,331.16847747496945
高盛,329.22172919766103
措施,328.3187356964008
裁罰,327.7409467970053
盧比,325.114826932779
經濟體,324.1187807903054
三菱,323.08011047766666
法令,321.97959069596413
監管,318.20165976335505
股票,317.9427606048386
可能,310.54957716992124
投資者,308.65390457005793
機關,306.26256499876536
衍生,303.33115596469526
票券,301.7580527851057
下跌,301.16872536564847
監督,298.8375967624673
短期,298.55626951479445
集保,292.5586288338097
部位,290.558721914076
主要,289.1850317292655
大通,287.2204592388856
集團,283.2661095246875
新低,280.66915737469395
年底,278.9190607318396
稅後純益,272.13413928475694
滿元,269.07097958242645
第一,267.8306231847024
報酬,266.8059844092678
以來,266.4013735070007
專戶,264.8575646552679
蔡明忠,259.2162690264144
調降,259.16149055450745
手續,259.12712054242735
專案,258.5172334983237
野村,256.8311501090678
比率,256.31845379265513
匯市,255.84466635484333
準備,255.18731892352872
匯價,253.7220793716071
參股,253.58183302032697
收購,250.67209971690318
配置,248.94511914808052
人壽,246.2801918373598
出口,245.6037485948282
保證,242.4575817826635
王儷玲,242.07612133650915
股權,240.65329994792143
辦理,240.45168315161024
外流,239.4067727649847
提撥,238.31757326652055
前景,237.24220530191954
毛額,236.52621465414813
策略,234.11297697195587
張盛,233.63297233657585
匯入,230.72893583100046
保險業,229.96645278660895
財政部長,229.58922773107656
緬甸,227.239183658655
求償,226.31589275190439
準會,225.00345159363422
彭博,224.6417590186576
新股,224.1779083196345
繳費,223.0186093293652
全球,222.44547444977218
新興,221.5719392183187
持有,221.04765548799003
分析,220.4183349045792
中間,220.11559497874484
英國脫,218.3770342668825
籌資,217.68732080543603
本市,217.52995548221057
流通,215.62641220681328
放緩,215.2608663742612
