token,tf,df,tf-idf
表示,100772,54138,2035.9778335049048
台灣,62249,23264,1801.8800338509095
今天,53720,36481,1546.1898515642854
市場,38309,17130,1293.3294081195784
今年,38340,20428,1264.3164136044334
公司,36152,16204,1258.70493392836
美元,24628,8568,1239.9634727612759
總統,29591,12572,1208.1967090460655
美國,28078,13005,1106.249269342184
指出,38499,27704,1064.1124482530788
政府,30868,15541,1046.1204161039338
目前,28798,20343,939.2520949541581
億元,19913,9331,931.6843607139151
成長,22304,10351,928.3001192321838
日本,20546,7890,914.942994663262
可能,24865,15945,868.5799513737015
經濟,22227,10862,868.4708251952346
董事,19645,9212,860.7678417234713
報導,19488,12787,847.0646403574333
去年,21156,12764,830.1040058549294
全球,21195,11140,812.5831328502385
營收,12623,5025,793.2095902417168
希望,20972,13997,745.063438198058
英文,14615,6166,742.8022845803223
可以,21322,13797,731.20860810135
發展,20470,11836,728.1610318612267
指數,11950,4821,725.5312736123453
大陸,16408,7191,724.7478137430946
第季,13668,5423,715.7482610619787
未來,20578,14124,709.7782362702076
包括,20679,16302,706.8345995664922
中國,16537,8146,705.6573428688141
問題,19346,11938,703.7651971824527
影響,17787,12045,702.8779496876568
人民,15689,7259,700.6171148317158
銀行,15410,5829,692.2340471271093
立委,14013,6551,690.1146087896783
台北,13134,8132,682.6920065640362
台幣,12663,8919,680.7139227261792
合作,17261,9348,675.4934326931974
企業,16547,7452,669.3361468323135
認為,19074,13506,667.8065819187836
金融,15243,6332,658.711030152256
相關,17801,12604,653.4773608279228
時間,18326,13040,647.7651097469067
政策,16154,8856,645.9215285201642
國際,16205,9949,638.625414397853
我們,14802,7708,637.3081503016605
公布,13015,9966,627.8010650378574
進行,16726,12419,626.8373605130131
行政院,12526,6416,606.7729330359538
國民黨,11412,4425,605.9577409141947
提供,16118,10615,604.3195612757606
代表,13943,8290,603.5006548174871
基金,13129,5465,601.6615447826372
中心,13507,7484,600.4489848701006
以及,16333,12861,595.7180812800465
工作,14195,8311,595.6935357542811
立法院,12087,6548,588.2896977761525
活動,12747,7400,586.9742473359561
投資,13708,6733,581.9617962569808
媒體,13104,8572,579.1611881440776
調查,12351,6442,577.5425712183894
增加,14157,9278,577.0864806227044
自己,13615,8574,570.5417242537808
國家,14108,9275,561.1519447144725
主要,14094,11160,557.079274979685
因此,15342,12159,554.4396647680102
推出,11876,7047,553.4675022929712
今日,10295,6776,551.1878404848499
上午,11662,8785,550.1679529303433
要求,13067,8722,544.2383970733378
持續,12867,9853,543.9766595722151
是否,13211,9488,543.5806837292585
其中,13859,11479,540.0153981832112
一個,13770,9606,539.9101340355699
因為,13885,10791,534.6268017145701
宣布,10975,8434,532.2577738220245
發生,10516,7396,529.063511780454
他們,11735,7555,528.2273942485457
科技,11589,5879,524.8175501649722
安全,11743,6795,523.7671094778336
地區,11796,6680,518.9120541182431
造成,11423,8621,516.884463004089
記者,10342,7620,513.2767342766645
預期,10371,6794,512.5257297550002
就是,13273,9837,505.20968601047247
英國,9183,3809,502.35720428698744
下午,11504,7496,502.3278583945457
沒有,12216,9380,498.2914230643671
社會,12097,7282,496.3151060300631
航空,8576,2802,495.49375811592404
部分,12034,8975,494.17097265858996
產品,10609,5970,493.3570182862355
集團,10068,5187,490.0205593269946
台股,7055,3146,489.5419722946475
中國大陸,10650,6908,489.4863332761043
透過,12594,9527,483.7739409375878
超過,11255,8701,479.41686419403
研究,10527,5544,477.42125870759634
不過,11311,9653,476.8536297674704
其他,12118,9781,475.90060844347414
最大,10920,7902,475.746556813468
使用,11037,6834,474.5263918330341
萬元,9493,5077,471.59691263383803
報告,9991,6007,470.0412851733978
需求,10731,7249,469.9649642307272
顯示,10642,7994,469.87359785932466
開始,11052,8755,469.78810334175154
支持,10378,6683,468.3341123785259
兩岸,9378,3397,468.17940586467967
產業,10732,5998,464.1827138751145
重要,11496,8728,459.05285120780246
世界,9491,5929,455.82764409393945
如果,10958,7985,453.3756437610828
提出,11114,7846,452.8422652751384
手機,8931,4073,451.1319723185764
結果,9411,6684,446.1961452954261
股市,6581,3634,445.34849950366146
交易,8155,4199,445.2599768985761
服務,10092,5654,445.0393259267741
品牌,8975,4060,444.9579115820733
民眾,9362,6419,443.6299735212792
舉行,8603,7294,441.145537357659
根據,10200,8786,439.89893562476135
完成,9890,6968,435.75859279948094
蘋果,7394,2450,434.74703777114183
不是,10251,7459,432.6583576806264
管理,9986,6095,432.2716133616295
