token,tf,df,tf-idf
支付,1612,288,36.13089525074255
銀行,1566,405,29.00942114862021
行動,855,201,23.929972869614673
金融,1121,316,23.17746427105976
信用卡,1601,652,21.333736903236233
台灣,854,274,18.49737714925249
回饋,534,130,17.552042936166263
消費,589,242,14.544639511153845
表示,818,448,14.318818205393725
玉山,396,103,14.106811901721443
刷卡,438,157,13.772483067012699
服務,559,239,13.493540542389615
使用,604,296,13.378699363457812
消費者,508,189,13.163535150573159
手機,427,159,13.08639208654681
提供,539,262,12.357944290284513
電子,406,143,12.238599007108233
推出,472,240,12.138976508230522
交易,358,157,10.815294793185771
合作,392,197,10.801675693237593
客戶,348,125,10.799917401277773
聯名,278,72,10.667816706830397
金管會,284,118,10.307544917752029
優惠,324,155,10.24300860226865
可以,404,216,10.207323664234597
數位,308,102,10.194197516841914
公司,370,170,10.137176452087418
市場,402,190,10.045028428692202
金額,297,144,9.78456996499498
現金,285,128,9.664115633181236
今年,351,185,9.617987874651856
網路,281,125,8.714637308959434
分行,210,52,8.708753402707135
目前,330,226,8.145210181701824
花旗,193,57,8.133857104890138
平台,259,132,8.101754376593377
透過,299,189,8.064344491879389
包括,280,188,7.924983844588303
購物,235,100,7.8789255830276055
中信,202,61,7.789339633368841
機構,244,131,7.783757678830679
成長,223,109,7.693302152714277
最高,226,120,7.597810851420804
民眾,232,132,7.5802977347116505
發展,280,145,7.559967058040817
付款,222,122,7.38220397093504
以及,267,174,7.353516638577301
億元,187,78,7.336873856157596
航空,141,40,7.311714333807217
指出,276,204,7.2698684713844175
帳戶,203,101,7.170362195207354
國際,197,102,7.070410212869377
去年,204,128,6.810721428482818
今天,205,159,6.810548912550084
業者,194,111,6.793641404235105
完成,210,135,6.789420731397847
通路,187,95,6.645079175431608
國內,196,120,6.565752205223794
商品,218,111,6.480273872177352
科技,210,87,6.388257198436773
貸款,166,56,6.386054930493478
申請,174,97,6.3686696070368445
海外,172,77,6.346435012957271
只要,199,135,6.238312863683181
功能,178,103,6.218101717014306
加油,140,20,6.190168397989205
全球,194,96,6.16783820368476
董事,197,120,6.150649612608084
中心,173,86,6.129163651322861
旅客,138,52,6.095629446764189
方式,196,132,6.079961923641939
