token,tf,df,tf-idf
美元,5375,1399,150.84544132988336
人民,3824,752,117.14544678940103
台幣,2291,874,107.8234878397349
開盤,684,399,71.33786169663593
匯率,3197,1746,69.46683314747106
市場,2597,1185,65.0479977887272
外匯,877,556,53.100946496863216
之間,674,226,48.78609462279953
新台幣,701,516,48.337402331902325
今天,934,623,48.32913668169006
升值,1078,554,47.400026126221476
經濟,1603,616,45.2306304094827
高低,528,165,42.969469879856874
表示,1878,1059,42.22932518134035
以元,374,335,41.97370697824263
台北,416,360,41.29090659348509
央行,1128,437,41.14661588692733
交易,742,415,40.90173595817968
介在,474,169,39.71487339583811
今日,748,425,39.3098821699982
貶值,975,538,37.34043444039922
貶分,219,146,36.602426191377795
升分,158,87,36.572850945776196
中國,1061,434,36.11890885608268
公升,539,100,35.64936197950447
美國,1104,523,35.023072567919066
指數,876,397,34.79906000528631
今年,1274,594,34.75528655402098
幣兌,647,376,34.67279253544205
可能,1067,563,32.97696689249623
第季,904,278,32.918127843701676
貨幣,958,475,32.61636305205685
日圓,664,314,32.59037758976051
成長,1028,444,32.268947876108854
今早,394,182,30.753753789475905
銀行,965,491,30.589489534785578
預期,920,566,30.34663264279753
早盤,366,277,30.292110204950646
最高,396,344,29.644121121897253
汽油,460,103,29.632896733758592
中間,511,333,29.50272558371384
台股,609,253,29.337748386974578
影響,966,584,29.00925273560595
英國,677,236,28.973816672193102
指出,1047,726,28.76127927740874
利率,748,342,28.72878088516233
金融,896,420,28.727720335159237
最低,337,288,27.958170903424417
全球,915,477,27.90670254269448
億元,748,310,27.672920556531206
政策,810,399,27.28796478381612
升息,595,312,27.17693774270544
公司,693,374,26.05764041533591
台灣,778,333,25.489855149704738
大陸,614,247,25.45996457524871
下跌,584,343,24.838026799902597
股市,579,272,24.656787965750194
油價,472,196,24.301683696540756
區間,186,167,24.171553146046186
日本,619,254,24.129359787916474
幣匯率,539,305,24.09324439175524
外資,495,250,24.023966607905628
以來,581,411,23.49780117825893
終場,253,165,22.74744430820713
去年,694,345,22.599088187202074
國際,597,409,22.59445732760229
英鎊,419,212,22.424816600605382
持續,595,435,22.372380670400318
