token,tf,df,tf-idf
台灣,61939,22974,831.8742644018944
表示,34085,17136,573.0839636673948
今天,15823,10395,388.6116266776698
總統,11325,4482,384.80665635388306
市場,13627,5627,377.59667574755014
今年,12964,6803,356.8038256977533
政府,12716,6039,355.42513552989476
日本,9435,3428,334.6836534539362
公司,11158,4662,333.7664299689604
英文,8433,3203,327.2880480574767
發展,11406,5897,311.69172927750606
指出,13260,9158,309.5563325791765
經濟,8924,4264,294.13062774320207
合作,9258,4624,284.0886983116177
美國,7997,3599,282.2202752031936
兩岸,7036,2362,275.9058232870449
全球,8792,4308,273.90236389374405
目前,9777,6579,267.5932110250416
希望,9312,5833,266.7505510684667
國際,8386,4617,263.2622633197902
未來,9227,5919,256.5241212344352
企業,7693,3153,254.79699241826398
成長,7262,3411,252.15981683598892
可以,8766,5363,246.7388640624558
董事,6878,3459,239.76625233431585
大陸,6267,2593,238.9763454935336
政策,7008,3543,234.64771011989782
代表,6525,3673,230.9496378746297
金融,5945,2025,228.42134950621335
問題,7139,4129,224.6153636785035
台北,5644,3307,216.18583313196706
包括,7422,5668,214.468685781842
可能,6712,4328,212.97082174309276
產業,6242,3095,210.89111943053496
去年,6349,3919,210.66111176692917
銀行,5236,1749,207.57224213089285
科技,5687,2633,207.11567287494492
中國,5435,2835,205.91653020854082
認為,6811,4550,205.78750414032856
影響,5765,3616,205.4668850689599
投資,5571,2570,201.46695590419083
國家,6145,3843,200.34056371136208
活動,5222,2982,199.63185357108185
提供,6347,4050,199.10309293211915
億元,5104,2517,197.54615029318208
相關,6220,4348,196.67908219623402
中心,5277,2881,195.9389578780231
社會,5721,3196,195.68594413155387
人民,4944,2488,193.37556108984757
基金,4944,2074,193.26077762125334
美元,4414,1776,189.84024441628273
一個,5943,3828,189.30410004566667
時間,5452,3963,185.87786410337284
我們,5293,2381,185.86253665807726
國民黨,3964,1553,184.7504260075538
立委,4380,2202,184.29809843662105
以及,5974,4544,182.8586066707632
推出,4632,2634,182.4340510988174
文化,4633,2152,182.04959892084457
品牌,4499,1802,180.2294751919555
自己,5094,3113,178.65596161635725
重要,5322,3828,177.96696755500534
就是,5714,3961,177.7228393406002
透過,5601,4076,175.08028199517867
進行,5425,3994,173.6489208577256
行政院,4151,2324,171.2666846391331
世界,4309,2631,170.9526389909453
中國大陸,4260,2575,167.40493530377452
智慧,4122,1527,167.1704434847146
中華民國,3870,2022,167.16208906476072
因此,5278,4056,162.80792247453454
推動,4740,3049,162.40246017160678
服務,4458,2388,161.9995639851329
媒體,4255,2634,161.5183600354008
工作,4457,2584,160.21454192913447
持續,4386,3235,157.31951967786782
因為,4817,3558,156.61232763838598
沒有,4379,3220,155.4881949738106
是否,4126,2878,152.7921288644499
地區,3624,2310,152.68212295475544
立法院,3633,2158,152.10777930851393
集團,3765,1844,151.55529175435868
共同,4270,3031,151.4866507181956
支持,3908,2484,151.37395423212214
產品,3992,2135,150.73137191644722
交流,3552,1967,150.40396392364727
出席,3453,2453,150.33195032719343
政治,3643,2061,149.88054358989615
研究,3864,2113,149.32759361180098
技術,4045,2048,148.94713015643563
大家,3710,2326,147.46929065942456
其中,4349,3577,147.19180493416317
主要,4235,3278,146.73365926489723
增加,4120,2794,146.3755391298791
機會,3977,2945,145.52391813560718
記者,3427,2556,145.15012853853594
不是,4031,2830,144.67332831265472
蔡總統,2858,944,144.15768709016308
旅客,2959,1077,143.62744611087484
大學,3378,1749,142.8686419802913
指數,2635,959,141.8559841254904
台幣,3378,2463,139.9755724820236
如果,3765,2652,139.05340071609092
管理,3727,2125,138.65149025258228
消費者,3298,1642,138.46696465899453
計畫,3643,2158,138.25283010746642
安全,3497,1969,138.19680062979097
調查,3282,1637,137.83885970261457
最大,3717,2774,137.50496954556152
使用,3706,2253,135.5900104705033
航空,2656,802,135.3778883121731
除了,3959,3258,135.14812056996308
提出,3797,2615,135.14759854273586
要求,3542,2353,134.7863294322368
上午,2853,2387,133.41083246807946
其他,3770,2998,132.74945470605257
非常,3437,2457,132.38347452086438
外交部,2460,1016,132.21332589776486
需求,3568,2408,131.9441348660767
舉辦,3241,2511,131.79712144896624
民主,2868,1537,131.73650501247835
超過,3616,2747,130.65002486833362
民眾,3153,2114,129.86538205154218
和平,2761,1194,129.72372414134986
環境,3483,2308,129.21878972938674
新政府,2849,1581,129.03702148504544
他們,3257,2061,128.6234586189587
宣布,3035,2378,128.55982115997435
需要,3580,2637,127.83373327245766
第一,3413,2568,127.82228920283869
開始,3553,2700,127.70997370049169
完成,3343,2368,126.43196184355011
公布,2840,2142,126.3543336559453
教育,2982,1529,126.14589250347294
平台,3153,1715,126.10409555143778
接受,3228,2415,125.53540364419969
商品,2828,1317,125.25364160407895
成為,3635,2918,125.20186163422593
部分,3333,2475,124.98696749844878
兩岸關,2566,1160,124.91475251397
方式,3501,2716,124.48812161361955
這個,3345,2382,124.42608500750923
台股,2132,894,124.35472065024405
行動,3001,1517,124.21876310426295
方面,3212,2366,124.0852268959668
電子,2986,1576,124.00116457160834
設計,2928,1533,123.76777448682361
提升,3402,2449,123.50251948265623
協助,3105,2233,123.22393412670809
舉行,2909,2547,123.08261132441785
成立,3272,2159,122.6823630289096
參加,2746,1960,122.6609594851554
網路,2898,1547,122.48726306587514
學生,2691,1175,122.45540702811269
地震,1957,667,122.44578963744458
這次,2988,2224,122.37655778834817
香港,2620,1200,121.72658546795944
協會,2724,1648,121.5054778204133
主席,2528,1515,120.99706394783719
第季,2500,1166,120.52864498179757
同時,3398,2882,120.39655483325247
營收,2304,1026,120.38823780141676
不過,3122,2655,119.90626882078007
手機,2637,1227,119.73727959678195
生活,3034,1895,119.71136312081772
很多,3191,2312,119.64445934883052
不同,3282,2408,119.55539222939302
旅遊,2404,1046,119.30176058747416
不會,3080,2276,119.24300106350371
中央,2431,1709,119.22961417174028
強調,3205,2667,119.06013996232672
下午,2449,1943,118.84223398675577
萬元,2741,1549,118.78765144152212
組織,2662,1567,118.6034347216467
發生,2640,1897,118.47526083879265
海外,2770,1459,118.2401488665398
創新,2914,1614,117.84758165556676
應該,2955,2176,117.67872026030692
報導,2382,1482,117.16169271877462
這是,3063,2477,117.00324238275958
民進,2507,1440,116.88069641051715
人才,2759,1367,116.36165967895357
造成,2880,2225,116.16892217514908
報告,2686,1638,115.90222866870545
國內,3022,2168,115.79561958148327
交易,2432,1153,115.60074505847358
已經,2980,2361,115.19028961733454
今日,2383,1677,114.91584013192391
觀光,2310,1060,114.66794879911136
不能,2893,2063,113.44350762330902
了解,2838,2187,113.13045479063321
支付,2490,585,112.22225364378293
出口,2261,915,111.81983072803295
加上,2928,2446,111.50402898926505
印尼,2231,654,111.23467680728601
顯示,2788,2053,111.18867230585549
預計,2535,1931,110.8631889060692
必須,2985,2211,110.7605812120068
以上,2774,2085,109.058688120493
根據,2770,2387,108.7792204984641
改革,2375,944,108.46802557755505
努力,2626,1964,108.31891464534408
這些,2913,2243,108.00954280125187
處理,2526,1691,107.32347447027605
另外,2814,2485,107.23532752882515
至於,2656,2295,106.04688038331356
正式,2540,2015,105.93936094475222
議題,2550,1723,105.8960524692475
一定,2717,2075,105.80534495502326
事件,2269,1328,105.75609407565364
新加坡,2134,1016,105.74836997597748
上市,2098,1232,104.58883341381701
雖然,2666,2304,104.5288970706494
此外,2825,2560,104.31858096487993
過去,2762,2276,104.14224893365287
特別,2565,2098,103.74926808849617
邀請,2246,1681,103.74742654607424
氣象局,1392,585,103.72083981924592
如何,2665,2019,103.52133045389084
通過,2377,1595,103.46196307054782
一步,2690,2276,103.29983382590254
目標,2656,1938,103.26073505245954
還是,2475,1944,103.0153891292858
客戶,2485,1144,102.85628406299342
醫療,2309,952,102.80216233802695
結果,2525,1844,102.74832323678474
不要,2291,1623,102.17867902741295
還有,2534,2148,102.10697512589327
成功,2496,1838,101.22205189759755
進入,2494,1968,100.88383259236345
亞洲,2281,1426,100.77254321742441
資料,2408,1552,100.4253838767668
銷售,2174,1273,100.33627427430717
台南,1752,873,100.16407279614882
當地,2176,1562,99.98996904469361
地方,2330,1557,99.82613294860182
獲得,2500,1922,99.81795604913373
受到,2375,1979,99.3571673233886
昨天,2043,1533,99.15710779221212
加入,2240,1472,99.10938197274206
日前,2317,1991,99.09765381151121
一起,2291,1694,98.63280325373114
進黨,1977,1257,98.51434624819095
健康,2202,1187,98.511754923264
歷史,2219,1409,98.44078229312795
所有,2451,1940,98.28044539057811
相當,2439,2069,98.22962524156422
出現,2223,1730,98.22497199210592
穩定,2213,1578,98.07334424533727
解決,2413,1638,97.88254947081776
台北市,2008,1244,97.86143255453283
經營,2453,1614,97.8575995756115
南海,1860,537,97.70123500739328
積極,2558,2056,97.6572601482163
前往,2068,1535,97.56065283874582
團隊,2272,1437,97.31465385987279
甚至,2582,2148,97.29641617075039
總經理,2289,1733,97.28162953940145
力量,2084,1228,97.22955850734662
分析,2432,1807,96.75353185610216
預期,2179,1496,96.59887899880646
現場,1994,1420,96.59317972198639
平均,2305,1396,96.59241238417992
參與,2194,1585,96.3989511840642
應用,2258,1218,96.257561710561
單位,2227,1679,95.99562120250656
共識,1981,954,95.97378645978225
轉型,2164,1176,95.8176691537502
業者,2218,1417,95.57140296633374
最高,2150,1615,94.92211322547553
能力,2402,1701,94.77230928876817
南向,1815,623,94.6814457734411
申請,2086,1124,94.02643519311961
討論,2214,1612,94.00106467027472
整體,2331,1767,93.87120852491022
雙方,2180,1427,93.74445935073481
專業,2286,1544,93.65833404705639
以來,2154,1784,93.6264312737529
印度,1915,599,93.42782081268818
規劃,2349,1720,93.30196015679788
