token,tf,df,tf-idf
台積,1549,541,31.75891770219338
台股,672,259,22.71137697773287
億元,643,286,20.14493769668078
營收,498,188,19.820941559392807
市場,783,339,19.774996082660635
指數,539,204,19.678974889524465
權證,364,42,19.41971301554405
積電,801,438,18.885177326371338
今年,693,308,18.855360959679196
第季,529,218,18.44826721566748
外資,459,183,18.019359360716372
蘋果,526,201,17.9400617837917
今日,469,183,17.2886699512583
台積電,719,420,17.25644298257304
新高,415,188,16.303804943728778
法人,438,236,15.546111004702237
成長,486,235,15.20259396337684
表示,619,359,14.59117805351077
今天,359,190,13.869373167632189
半導體,420,193,13.775354893075505
預期,372,219,13.68692425507521
美元,371,155,13.201402897623247
台灣,476,191,12.884864037569004
股價,313,178,12.49920654842775
成交,315,130,12.377261980531634
去年,385,177,12.319666674308621
董事,396,184,12.066655724020839
張忠謀,245,104,11.46181884766765
公司,413,174,11.349608905286148
晶片,301,115,11.160860115318997
手機,274,107,11.07873770769478
全球,355,183,10.789526826940579
市值,193,76,10.731710994729347
理器,247,101,10.604415312998002
指出,382,269,10.601513204403854
預估,249,145,10.186121272153414
代工,285,183,10.088140335189305
可望,243,156,10.003768565087675
企業,299,95,9.877512288954355
台幣,247,180,9.855134488303696
下跌,202,92,9.819547172611152
三星,226,89,9.59574516338594
客戶,233,122,9.53328467733249
金額,238,92,9.429408336316682
持續,237,169,9.400323531349079
半導,234,119,9.247358905441592
電子,231,142,9.101000929406377
基金,204,64,8.833699492162104
加上,238,181,8.703231035995074
漲幅,165,105,8.474635905621652
影響,214,144,8.437812279964334
技術,232,98,8.432447837514086
英特,175,58,8.363096409468781
漲點,160,95,8.359730655300769
股市,189,122,8.268153359482792
晶圓,192,127,8.113004678158063
主要,234,176,8.095069423923874
設備,185,77,8.087726384248095
智慧,201,84,8.07508408318768
目前,237,167,8.03512427790363
未來,227,142,7.950540637439071
權值,165,112,7.877942674113332
訂單,167,95,7.826575037618624
每股,150,81,7.728793662468925
跌幅,140,79,7.713610311041814
走勢,165,110,7.704546719460807
需求,185,116,7.654197357436281
本季,138,60,7.577302104643117
認購,157,39,7.522501677772448
創新,194,61,7.487016373993295
其中,239,190,7.482437015076733
包括,226,171,7.434415818008182
投資,218,97,7.394938211792113
南京,124,40,7.272469192426576
一度,157,119,7.259161529448325
開盤,149,81,7.257621236057021
增加,180,110,7.230602977137284
不過,186,154,7.184609128944767
下半年,155,99,7.060840492483777
看好,148,107,6.992429506267131
投資人,169,108,6.967488083386453
歷史,132,88,6.948796856745489
月光,145,70,6.89387032329712
產業,217,120,6.886152118064904
支出,129,68,6.871953694295822
分析,172,121,6.781230381160955
股息,129,57,6.77184152176941
近期,162,117,6.766385217742786
資本,125,65,6.756208737785787
行情,130,76,6.7367774214458525
終場,137,96,6.727794776347225
科技,193,99,6.725264313300495
獲利,163,96,6.71397642509752
機會,161,112,6.697157676636609
奈米,132,66,6.691810013375017
收盤,114,72,6.657690176241315
經濟,171,107,6.635537503144376
體產業,145,80,6.631844171052273
表現,158,127,6.624619504245533
認售,119,38,6.506413922661939
營運,132,87,6.486324270988595
美國,158,110,6.481855549252054
昨日,147,113,6.471650517443966
超過,149,100,6.451232341693434
地震,104,35,6.421006702298359
昨天,126,71,6.370396455756547
方面,155,108,6.3557431742698585
目標,132,83,6.3528740849287235
明年,127,72,6.3411477544442505
認為,167,125,6.31999352649539
早盤,125,94,6.318331585743894
政府,162,71,6.273829753022436
公布,149,119,6.239055236746826
紀錄,107,72,6.169020821162448
反彈,120,72,6.1656874551502145
最高,140,106,6.1483982444870255
族群,124,74,6.106366762073607
最大,151,117,6.052482087268753
國際,151,101,6.033598512903613
產品,146,88,5.979535413698605
大立光,116,74,5.9763517703167786
以上,148,118,5.973621072916075
劉德音,97,46,5.947574138382408
可能,152,105,5.879148960093203
金融,141,104,5.815000810040145
帶動,130,110,5.8026398132392965
持股,115,62,5.798825699711065
美股,117,82,5.7907289318743915
毛利率,100,59,5.6707099951434685
以及,149,119,5.582290491166988
設計,141,75,5.554616139935742
展望,109,83,5.523800881097081
晶圓廠,100,49,5.437029211719543
整體,130,94,5.419884900866133
除息,82,34,5.409494082223015
發展,151,79,5.3508618827154075
股利,90,46,5.325591370769344
相關,137,110,5.254610451379053
比重,112,80,5.23212680796038
指期,87,44,5.2313813965248634
合作,135,63,5.226179422702464
