token,tf,df,tf-idf
銀行,15405,5824,226.16758077945474
金融,8503,2887,190.57777791170042
美元,5174,1571,174.0305167245947
人民,4057,943,151.10187414103262
表示,8264,4357,146.61618728581703
市場,5578,2428,137.55305702143494
經濟,4528,1741,134.79265221617214
董事,3941,1452,122.95792486646086
台灣,4726,1869,121.94291201130183
央行,3155,1173,118.0351491379234
公司,4457,1853,115.23511054370165
利率,2850,943,109.62800007481593
分行,2780,819,105.62833850453227
今年,3781,2011,103.59726665459678
億元,2953,1242,100.60845061868484
金管會,2767,1007,98.23278414992922
指數,1939,755,96.49408474386719
今天,3166,2145,95.93589956954729
美國,2819,1318,95.20177589297727
成長,2844,1276,95.18171083419556
企業,3153,1296,93.42579335600702
投資,3106,1428,92.56863862183896
支付,2401,589,87.56144535808664
可能,3024,1709,87.52143419079601
指出,3563,2427,86.30485528298892
基金,2310,859,80.4765736261806
全球,2519,1260,80.30256062662943
日本,2035,814,79.68422410077953
客戶,2267,834,78.35427936359119
政策,2271,1131,76.2749654078374
交易,2132,1059,76.12687609929785
中國,2012,904,75.9893428620466
大陸,1970,752,75.76857643111116
目前,2833,1938,75.31594674487077
去年,2290,1302,73.46621734886135
股市,1393,618,72.56818531699922
中信,1674,377,68.99768024939405
英國,1460,504,67.35028384935823
提供,2292,1314,67.18075483374948
政府,2093,1108,65.34400097998
管理,2043,1231,64.69859941480932
發展,2157,1207,64.37295997626549
貨幣,1526,743,64.02886307111788
科技,1625,646,63.15468274540366
機構,1906,1094,61.98340209532997
台幣,1598,978,61.5237024933303
貸款,1471,614,61.106217911869194
包括,2085,1541,60.10170680178053
影響,1704,1102,60.03854176732475
主要,1846,1390,59.97495356407179
服務,1748,845,59.684953243157864
升息,1074,417,58.07654953701386
海外,1538,734,57.88145794429373
可以,1962,1174,57.741146909672935
以及,1933,1403,57.28152433187946
報導,1382,918,56.6796113338941
合作,1744,895,56.6702880752902
未來,1904,1302,56.55155985001747
相關,1728,1156,56.49163679799803
國際,1677,1006,56.10474304568018
主管,1555,982,55.94750123300754
認為,1795,1221,55.68970769651981
夏普,1105,143,55.592161832785195
