token,tf,df,tf-idf
指數,6137,1777,133.01164632511086
台股,5334,1836,115.70108911770608
今日,3118,1057,92.62923247013902
市場,3549,1632,79.40617690266443
億元,3117,1511,75.36191884554071
蘋果,2505,1036,74.9784304288856
股價,2709,1264,74.10849967320259
今天,1799,732,71.71343536524206
營收,1890,726,68.64076390194326
族群,2384,1087,68.50498729647659
下跌,2248,1061,66.95220879594324
法人,2362,1246,64.00963896432437
反彈,1897,828,62.32233607441952
大立光,2054,1220,60.88281562773899
台積,2110,1342,57.58806288032563
電子,1928,1051,57.08228827418794
外資,1958,1140,56.67161338323277
新高,1750,884,56.293084509463434
蘋概,1648,865,55.96323085410467
超億元,1319,474,54.65659968463316
指期,1202,515,53.67162650481101
股市,1733,1013,52.98136269693196
終場,1774,1140,51.297405005312505
漲點,1560,971,51.265164426357025
今年,1659,890,50.734609201003025
跌幅,1385,726,49.85610993016403
分析,1674,1219,48.04620628017333
持續,1627,1012,48.04079069574405
美股,1506,930,47.652912740091324
成交,1639,872,47.5026622792887
漲幅,1281,712,47.15623749173484
行情,1348,762,47.051074395156924
預期,1573,979,46.90569763378617
權值,1435,939,46.763429855875316
表現,1492,927,46.7049363034368
昨日,1288,600,46.6979648047067
表示,1512,1053,46.06478591675248
一度,1316,838,45.98833969139427
加上,1541,1028,45.39764935947444
美國,1410,804,45.02808189690142
整理,1270,794,44.43223794670938
走勢,1344,869,44.1346679801931
成交量,1704,840,43.87506765251464
目前,1369,876,43.31894881650821
元件,1202,724,42.67851756713686
強勢,1267,831,42.51546059001546
短線,1193,751,41.182388479481205
金融,1276,829,40.92377312324711
早盤,988,582,40.733743581210184
震盪,1145,744,40.31201476995846
類股,1119,635,40.20553622177331
被動,1047,638,39.28756898437466
近期,1133,772,38.44436749950138
以上,1011,659,37.226116610228104
大立,1114,735,37.108804306570015
成長,1037,605,37.043542857434176
大盤,950,605,37.000520691247566
重挫,904,528,36.91828999632229
公司,1029,571,36.87805668945886
台北,938,764,36.83355382088151
可望,1038,662,36.73611045292639
影響,1143,789,36.55951995224262
包括,1031,687,36.35689384678353
投信,945,640,36.20569150392306
留意,979,597,36.13762716707759
第季,832,433,35.81891116522084
股票,888,279,35.54021217276954
美元,953,530,35.383712434819216
出現,997,673,35.31868552769213
不過,982,715,35.11876039212323
方面,972,610,34.97741358396723
超過,867,523,34.87116524264003
指出,966,688,34.7936976855517
交易,769,337,34.31713929139785
走高,879,599,34.201435913567174
跌破,838,520,34.086948378930025
三大,940,618,34.079775171453754
指標,924,659,34.03877256761194
帶動,916,665,33.88441965942054
公布,850,551,33.679412609545686
台幣,724,553,33.105597540559174
格局,890,577,32.9649913831012
去年,776,418,32.91427485051053
操作,879,564,32.87630991767999
大漲,795,542,32.86782110778067
同步,832,608,32.56329854837575
收盤,1036,421,32.43140798403843
作收,837,558,31.98110687293606
大跌,726,436,31.834061968605248
金融股,739,511,31.417861915589334
最高,726,527,31.224851577459994
加權,840,673,31.11435279473571
可能,846,575,31.028803407126077
集中,753,436,30.50454882803901
其中,909,663,30.403941465274254
受到,830,606,30.163247901467034
以及,785,539,30.00962564652542
之上,758,567,30.00875399370559
支撐,776,555,29.948397678250405
受惠,768,552,29.896035546871733
財報,717,448,29.873676936147778
新科,758,507,29.869739018218535
股指,691,415,29.557595235727934
貿易,750,486,29.421221576053195
季線,702,453,29.382345888420172
機會,773,562,29.37367956407244
開盤,684,535,29.029948327231764
塑化,643,468,28.896002460453232
資金,718,479,28.654979865390224
激勵,718,533,28.62500176691627
概念股,685,483,28.574475556924874
股表現,694,539,28.470373310831352
年月日,570,540,28.033653351156822
多頭,638,464,27.677209001503286
再度,693,502,27.552448538167155
積電,680,510,27.527260619565624
盤勢,655,469,27.491455120695193
獲利,722,492,27.429873778230277
台灣,738,447,26.994670918740937
壓力,681,487,26.973605045842646
平盤,571,405,26.794333824950446
年線,584,299,26.756828095926515
盤中,584,470,26.670874114627217
上市,700,505,26.302593866382697
以來,642,487,26.197481225302838
部分,695,502,26.1698206977474
明年,595,351,26.158918829580067
整體,671,542,26.062807689746986
國際,684,511,25.97032041152261
日線,559,374,25.874459973691316
多方,582,424,25.83229188592262
主要,645,497,25.763544070503933
認為,608,489,25.755544525822273
鏡頭,547,190,25.69773930080481
預估,622,469,25.63348092536755
升息,572,349,25.535032334101878
券商,388,178,25.42788710308836
增加,637,438,25.314413537323652
弱勢,597,444,25.174896017549724
部位,599,342,25.1538940129183
台塑,510,364,25.13790170770154
失守,549,369,25.129096326973308
經濟,629,412,24.960771018316606
中國,634,408,24.927698031621485
以點,572,454,24.816948336969375
雖然,610,465,24.69381624047501
開低,541,388,24.56528787621784
走低,528,382,24.456022046356484
展望,587,448,24.239021677638323
看好,588,440,24.222419267205204
相對,576,480,24.196986800590125
每股,660,279,24.04427462677467
萬點,477,246,24.010361801041714
附近,549,428,24.006306074160147
其他,567,417,23.752674254819283
手機,545,306,23.74075053454961
站上,505,362,23.5988465011105
跳空,519,390,23.562851962139348
半導體,575,425,23.53177192149426
利率,534,358,23.52265392657582
維持,550,429,23.518465692613056
中小型,507,371,23.502110085594627
拖累,512,393,23.45936631295514
突破,540,379,23.32643473188052
高點,513,390,23.297569533347534
