token,tf,df,tf-idf
指數,6227,1850,133.43009584035357
台股,5517,1910,116.91407063418673
今日,2981,1029,89.82448112186746
市場,3405,1610,77.0999840631576
下跌,2678,1154,76.78812047641165
億元,3065,1539,72.9970520754202
股價,2720,1304,71.62160300984992
族群,2555,1148,71.39408343482053
蘋果,2215,985,68.83068196896181
今天,1805,792,68.08955639370303
法人,2417,1282,63.83840865121097
電子,2223,1169,63.042640767921945
台積,2247,1462,60.7070224817573
營收,1646,699,59.61206808745847
大立光,1951,1161,58.64655950223097
外資,2046,1130,57.9050997393772
超億元,1455,519,57.78770752436784
反彈,1812,896,57.73257128391914
股市,1903,1095,56.6844723514462
跌幅,1562,823,53.962085069047056
終場,1830,1138,52.86646756406441
漲點,1526,924,51.599612608216425
新高,1570,865,51.463699221940104
指期,1137,513,50.39313445119608
美股,1663,1017,50.249984734996
一度,1508,943,49.98855112434655
漲幅,1384,767,49.586659970820875
成交,1547,927,49.04225252804315
蘋概,1321,715,48.433288102922795
權值,1511,987,48.07571808736605
持續,1635,999,47.923925054438705
今年,1535,862,47.713321745149564
表示,1622,1110,47.58806295365636
加上,1576,1006,47.406016685651146
整理,1399,845,47.31868131563252
分析,1611,1222,45.63633281511883
行情,1262,720,45.5599204951902
表現,1450,905,45.46433134216229
預期,1469,934,45.21981296990561
昨日,1245,594,45.03546715290485
類股,1224,687,43.54703883085323
短線,1253,754,43.44532182386128
目前,1404,900,43.19144867040017
成交量,1535,875,43.07439797532377
金融,1328,888,42.95435109133849
美國,1303,768,42.4892322998264
強勢,1254,817,42.3684697334508
走勢,1254,836,41.98534758053763
早盤,1082,653,41.66439140425288
元件,1153,658,41.30610037236338
震盪,1123,777,39.46181099732765
被動,1036,590,38.88900435668482
跌破,986,610,38.47967375959279
影響,1214,847,38.37024847824134
台北,977,784,38.269635420948546
包括,1085,693,37.901152746154
第季,844,421,37.745625025849684
不過,1034,698,36.93510913269537
可望,1026,638,36.92180405627271
大立,998,737,36.86546184806315
近期,1059,743,36.78973696893229
投信,979,673,36.230837316238265
方面,1031,649,36.15033179239872
成長,1004,569,36.107254026153576
以上,1008,693,36.05412140382183
大盤,929,633,35.94822464020038
超過,872,510,35.49704727868729
出現,1008,679,35.25393576631405
指出,1002,738,34.95871462508365
美元,894,531,34.87076793138755
指標,963,663,34.72961110027909
作收,908,573,34.60170946821705
公布,817,541,34.356981564732045
公司,954,552,34.32412313215278
同步,870,606,34.27178597795832
股指,789,485,33.414387743800035
操作,917,592,33.17258958408834
股票,754,224,33.03738448021739
財報,822,504,32.93585050353176
台幣,736,585,32.887528511006195
重挫,775,469,32.855675484306424
留意,871,556,32.68491491785199
格局,869,594,32.45475428255894
三大,911,614,32.40102858386151
大跌,732,445,32.30333268249408
大漲,771,519,31.69710931242605
其中,913,665,31.653136869802854
以及,820,572,31.287183616954593
金融股,753,553,30.970522843946608
加權,815,671,30.969403242359906
帶動,837,659,30.673923261603946
受到,875,639,30.621030789224964
支撐,793,593,30.61339193135697
之上,752,559,30.532851378888545
受惠,796,546,30.345250994807103
台塑,699,500,30.309617616666028
交易,647,321,30.164518025817063
國際,797,552,30.09144178642543
集中,1058,429,30.071392946668283
平盤,665,465,29.917013271319398
去年,708,410,29.886714960442806
走低,685,470,29.795276754587395
機會,768,575,29.598226273627656
股表現,710,525,29.522349892911592
年月日,603,572,29.484569290383583
開盤,685,531,29.408499287946274
收盤,809,404,29.182989341318056
獲利,773,524,29.04930691692863
盤勢,698,485,28.608118187260708
可能,766,542,28.50663474473674
激勵,718,517,28.437357526538108
走高,666,484,28.35628288096802
附近,655,458,28.200832414351872
概念股,652,460,27.88497726287857
資金,704,494,27.479212005933658
最高,639,526,27.437473311417577
壓力,699,509,27.42791430129737
塑化,633,486,27.379532621361143
券商,408,184,27.362916569731595
多方,621,413,27.345242896450742
盤中,620,505,27.288207535870136
預估,650,492,27.24448373675834
積電,659,539,27.23747559182145
部分,737,550,26.930303753849625
新科,615,439,26.87067230266688
相對,631,497,26.824541372368063
整體,678,537,26.801277908169986
季線,608,391,26.742754240393584
經濟,650,419,26.731435343381495
主要,680,541,26.683179456642666
日線,603,375,26.648810401037956
中小型,594,410,26.545446758063754
再度,666,501,26.299288658382107
年線,561,287,26.24643245206357
股盤,521,437,25.91072304986877
貿易,614,408,25.850298756015185
台灣,667,452,25.73206309562616
上市,664,496,25.720826697060883
失守,564,379,25.655470882525304
以來,614,461,25.404487468839392
弱勢,588,454,25.360312934146624
認為,574,446,25.13772620597797
可成,528,412,25.071015934291793
升息,577,365,24.88037236907762
部位,610,333,24.844572256614246
修正,543,360,24.78932463102352
全球,622,447,24.706367227072196
其他,564,420,24.530991215513758
以點,544,429,24.29022989617712
多頭,537,412,24.259042857908344
最低,533,426,24.168018115231703
展望,592,462,24.052420267518798
開高,529,384,23.9817622330488
雖然,577,445,23.977236212425126
相關,585,413,23.85494747470903
投資,661,380,23.852153697142928
走揚,507,386,23.76497586652829
每股,547,269,23.55682712541347
拖累,534,404,23.440813571580573
旺季,526,386,23.34371394537121
賣壓,557,428,23.319265283150234
半年,485,289,23.19762655923782
中央社,394,390,23.14188486916318
萬點,411,236,23.045788128082172
保守,547,414,23.04112787032796
中國,547,350,22.943211332737377
應鏈,508,359,22.886774700624887
投資人,551,411,22.869027954491006
明年,492,288,22.7574545068248
觀望,475,342,22.616489975304063
中信,499,372,22.592650444549125
投顧,480,363,22.48840266093146
增加,549,388,22.465578833913916
本周,472,289,22.423260409352032
看好,516,380,22.41245187743496
短期,500,391,22.33082620070816
利率,523,349,22.28189505082879
下半年,484,311,22.23337563305875
手機,480,294,22.07771347345414
科技,484,292,22.050853252765222
自營,528,451,22.035775900534087
是否,512,384,21.943432722865246
波段,481,350,21.93210133586723
下挫,439,336,21.910280684497586
鏡頭,432,152,21.87676270446973
上攻,475,364,21.607463621241717
觀察,525,409,21.581962352977765
站上,451,326,21.514814152854573
跌停,378,261,21.51125390795384
因此,518,405,21.480265844253747
顯示,511,426,21.462911818689015
力道,489,399,21.45100476527924
半導體,505,416,21.441684714730485
收在點,422,350,21.139049540426857
另外,475,391,21.05833194189609
記者,412,402,21.019110116460727
股王,412,348,21.013342001246876
高點,476,360,20.952049669275564
收斂,444,365,20.944510979687788
交易日,431,347,20.578835012310318
小跌,427,328,20.50204045760322
開始,490,364,20.480704701980866
走跌,401,306,20.457544017108194
未來,495,401,20.439856570349956
開低,399,306,20.306503132462748
賣超,420,267,20.269779549358322
向上,464,342,20.218666136695848
面板,405,275,20.202166553101563
突破,449,349,20.186961381136566
尾盤,430,329,20.06683809376624
需求,481,360,20.059561162635546
維持,449,358,20.05769357625962
水泥,433,358,19.984703775674387
超前,394,113,19.969067999660894
新光,438,326,19.927470890863162
籌碼,428,354,19.922928356675108
買盤,435,336,19.86088937241324
進入,466,396,19.846729120703234
利空,431,329,19.644699764854312
科技股,392,285,19.63565425736023
止跌,398,293,19.62883887128714
期指,286,182,19.40990742740322
營運,415,311,19.387468962339547
高檔,415,335,19.385062806789673
除息,346,178,19.265641337507894
跳空,385,291,19.156198141047668
全面,405,326,19.10617747694064
明顯,416,362,19.031869335542723
低點,386,296,19.029918922073833
回檔,365,270,18.98943783611043
美中,399,238,18.923214184855524
至於,398,294,18.862402922727096
第一,443,339,18.82869153814797
至點,376,258,18.803054801183755
走弱,375,297,18.720279456602647
利多,403,330,18.693218221048276
布局,400,321,18.589465581596876
盤面,421,347,18.48235947366719
傳產,408,318,18.480936376219994
工商,355,295,18.375513862948267
金額,410,227,18.33108417386563
現貨,338,268,18.329337629195287
業績,390,325,18.217519981465838
之下,390,297,18.19622910287686
