token,tf,df,tf-idf
指數,28478,8395,612.3100771451465
台股,25013,8746,531.8247134914395
今日,13794,4718,416.4327014849234
市場,15164,7211,347.5244481942626
億元,14026,7064,335.5533745674527
今天,8649,3631,332.4358439321845
下跌,11081,4936,330.8061690108861
股價,12153,5903,328.645906225038
族群,10855,5053,311.486716363514
蘋果,10038,4527,309.98365245894894
法人,10629,5705,285.2561848111287
電子,9735,5216,280.68328305277237
台積,10039,6476,273.5931585867147
新高,8767,4411,272.75628443108127
大立光,9081,5460,271.3039947552456
超億元,6571,2305,270.4251572366732
營收,7318,3055,269.90171819115517
外資,9210,5138,264.3070834223092
反彈,7534,3692,254.0438811445765
股市,7996,4671,245.15706748202018
漲點,7294,4444,241.93695919897442
終場,8310,5192,240.2060171718726
指期,5398,2379,237.71513155266132
漲幅,6438,3526,231.25081427695739
蘋概,6449,3565,231.1945025023716
跌幅,6264,3339,228.5513568295714
成交,7256,4198,228.1498083722988
今年,7326,3899,228.0891476545967
權值,6971,4526,222.48676684820356
美股,7028,4319,221.0787776971866
持續,7404,4660,218.47739757669243
一度,6328,4025,217.50584983533142
整理,6309,3797,214.95240663416885
行情,6131,3522,214.02200792614317
分析,7417,5568,213.43077050794886
表示,6999,4905,211.48418473899994
預期,6819,4306,209.50213825886598
加上,6939,4659,209.0748309546983
表現,6629,4229,207.7178408734775
昨日,5681,2662,206.73453342701023
目前,6460,4139,199.9703061028357
成交量,7202,3939,199.3520522518224
強勢,5910,3749,199.15596974811695
金融,6048,4075,194.49769119367804
走勢,5839,3823,194.3719822922565
類股,5421,3089,193.31975648717625
美國,5902,3521,193.23248811468545
短線,5454,3364,192.89202531870058
早盤,4706,2837,188.31775078560833
震盪,5266,3579,182.70675178263124
元件,4771,2760,179.41556904595978
可望,4906,3095,173.54181164086876
台北,4365,3511,173.0207209731495
大立,4908,3416,172.00086494351075
近期,4883,3323,170.82464005607793
美元,4511,2474,170.62786780549425
以上,4757,3171,169.83686730611902
股票,3940,1258,168.3162283137043
包括,4743,3144,167.94834022182948
影響,5036,3487,167.14330417378324
投信,4384,3008,164.96114631154336
被動,4164,2438,164.757628003076
第季,3761,1934,163.47604705650338
大盤,4148,2759,163.25688152351907
留意,4376,2649,163.12018939839047
